"","Location","Year","PopulationofTheLegalServiceArea","ChildrenBorrowers","NumofBranchLibraries","NumofBookmobiles","StateIncome","FederalIncome","CapitalOutlayIncomefromOtherSources","TotalCapitalOutlayIncome","OtherOperatingIncome","ElectronicMaterialsExpenditures","OtherMaterialsExpenditures","TotalCapitalExpenditures","AllOtherOperatingExpenditures","BooksYoungAdultHeld","NumofElectronicCollections","NumofDownloadableAudioMaterials","CirculationofNonEnglishMaterials","CirculationofElectronicMaterials","ILLloansreceived","ReferenceQuestions","YoungAdultProgramAttendance","AdultProgramAttendance","CIPACompliant","AnnualUsesofPublicInternetComputers","Websitevisits","NumofChildrensPrograms","TotalProgramAttendancePerProgram","AdultProgramAttendancePerProgram","YoungAdultProgramAttendancePerProgram","y"
"1","A.K.SMILEYPUBLICLIBRARY","16-17",69851,0.280239366651873,0,0,0.74444174027573,0,0,0,10.4241313653348,0.714993342972899,0.284448325721894,0,6.41793245622826,0.0648666447151795,0.000229058997007917,0.0852242630742581,0.00445233425434138,0.225995332922936,0.000114529498503958,0.484817683354569,0.000687176991023751,0.080027487079641,0,0.328127013213841,1.15935348098095,0.00687176991023751,19.6528634361233,32.3121387283237,24,3.88000171794248
"2","ALAMEDAFREELIBRARY","16-17",79928,0.197752977679912,2.50225202682414e-05,0,0.521594434991492,0,0,0.450092583324992,0,0.755942848563707,0.150160144129717,0,12.2975302772495,0.0837003302972675,0.000600540486437794,0.017828545691122,0.11240116104494,0.217195475928335,0.0111350215193674,0.784543589230307,0.0073691322189971,0.0300020018016215,0,0.299969972975678,1.91398508657792,0.00559253327995196,21.5544280442804,19.184,9.06153846153846,4.90217445701131
"3","ALHAMBRACIVICCENTERLIBRARY","16-17",86922,0.332597041025287,0,0,0,0,0,1.99246450840984,1.39665447182531,0.610443846206944,0.00920365385057868,0.0494696394468604,6.71782747750857,0.0701778606106624,0.000218586778951244,0.00148408918340581,0.194680288074366,0.0362969098732197,0,1.12959895078346,0.0062584846183935,0.0328570442465659,1,1.12176434044316,2.83395457996825,0.00409562596350751,16.3815513626834,13.6,17,7.60710752168611
"4","ALTADENALIBRARYDISTRICT","16-17",53236,0.0726012472762792,1.87842813133969e-05,0,0.49402659854234,0.253587797730859,0,6.0109324517244,4.35630024795251,0.443647156059809,0.790536479074311,7.75353144488692,13.77517093696,0.0967578330453077,3.75685626267939e-05,0.00353144488691863,0.0321023367645954,0.112931099256142,0.00834022090314825,0.124351942294688,0.0187467127507702,0.0386768352242843,1,0.724735141633481,3.25417011045157,0.00475242317228943,10.1323076923077,32.6825396825397,12.320987654321,3.53848899241115
"5","AMADORCOUNTYLIBRARY","16-17",38382,0.1748736386848,0,0,0.727215882444896,0,0,0,1.51753426085144,0.327627533739774,0.156323276535876,0,3.87957896930853,0.0578396123182742,0.00026053879422646,0.101662237507165,0.0127664009170966,0.174300453337502,0.0510656036683862,0.0425720389766036,0.00182377155958522,0.00919701943619405,1,0.359543536032515,1.33692876869366,0.00419467458704601,9.69189189189189,9.28947368421053,7,1.82973789797301
"6","ANAHEIMPUBLICLIBRARY","16-17",358546,0.159814919145661,1.67342544610733e-05,2.78904241017889e-06,0.0525455590077703,0.516809558606148,0,0.359448996781445,1.28280611134973,1.0327712483196,0.237980621733334,0.886198702537471,7.02815259408835,0.101523932772922,0,0.00361459896359184,0.118849464224953,0.121903465664099,1.11561696407156e-05,0.231270185694444,0.0195483982529438,0.0208202015919854,1,0.402637318503065,0.55113709259063,0.0106206734979612,17.1865787896944,19.9066666666667,19.7994350282486,2.73782722440077
"7","ARCADIAPUBLICLIBRARY","16-17",57374,0,0,0,0,0,0,5.67487015024227,0.972565970648726,1.61757939136194,0.497141562380172,5.67487015024227,11.3093735838533,0.100132464182382,0.000278871962910029,0.0994875727681528,0.420713215045142,0.359500819186391,0.000888904381775717,0.757921706696413,0.122616516192003,0.0739359291665214,1,0.791961515669118,2.90145362010667,0.0040610729598773,19.5609939759036,5.89986091794159,49.1958041958042,8.81315578485028
"8","AZUSACITYLIBRARY","16-17",49762,0.131083959647924,0,2.009565531932e-05,0.421024074595073,0.913568586471605,0,0,1.5561673566175,0.16578915638439,0,0,1.05873960049837,0.0772878903581046,8.03826212772799e-05,0.0680639845665367,0.174872392588722,0.108958643141353,0.000743539246814839,0.183272376512198,0.00136650456171376,0.0839596479241188,1,0.699610144286805,0.467344560106105,0.00399903540854467,21.9803600654664,19.9904306220096,17,4.04459225915357
"9","BANNINGLIBRARYDISTRICT","16-17",31246,0.134417205402291,0,0,0,0,0.0480061447865327,0.0480061447865327,0,0.704090123535813,0.160020482621776,0.224028675670486,8.89713883377072,0.0654803814888306,0.000224028675670486,0.0351404979837419,0.044517698265378,0.0772898931063176,0.000864110606157588,0.337323177366703,0.0093451961851117,0.0099852781155988,0,0.720956282404148,1.48220572233246,0.00595276195353005,5.46588693957115,3,7.89189189189189,0.806247199641554
"10","BEAUMONTLIBRARYDISTRICT","16-17",83997,0.115682702953677,0,1.19051870900151e-05,0.455504363251068,0,0,1.78577806350227,0.0924556829410574,0.263199876186054,0.20492398538043,0.461195042680096,3.62408181244568,0.0376084860173578,7.14311225400907e-05,0.0814076693215234,0.0206554996011762,0.0238818053025703,0.000166672619260212,0.144052763789183,0.00491684226817624,0.00461921259092587,0,0.0949200566686906,1.8212674262176,0.0120361441480053,8.61369076112973,12.125,11.8,2.14293367620272
