Location,County,Library Type,Geographic Code,Interlibrary Relationship code,Legal Basis Code,CLSA System Library,Street Address,City,Zip,Zip +4,Public Phone Number - Administration,Reference Phone Number,Library's Web Address,Size Square Mile,Closed Outlets Due to COVID-19,Public Services During COVID-19,Electronic Library Cards During COVID-19,Reference Service During COVID-19,Outside Service During COVID-19,External WiFi Access Added During COVID-19,External WiFi Access Increased During COVID-19,Staff Re-Assigned During COVID-19,Population of The Legal Service Area,Registered Users as of June 30,Children Borrowers,# of Central Libraries,# of Branch Libraries,# of Bookmobiles,# of Outlets,Total Square Footage,Local Government Income,State Income,Federal Income,Other Operating Income,Total Operating Income,Capital Outlay Income from Local Sources,Capital Outlay Income from State  Sources,Capital Outlay Income from Federal Sources,Capital Outlay Income from Other Sources,Total Capital Outlay Income,Salary & Wages Expenditures,Employee Benefits Expenditures,Total Staff Expenditures,Print Materials Expenditures,Print Serial Subscription Expenditures,Total Print Materials Expenditures,Electronic Materials Expenditures,Other Materials Expenditures,Total Collection Expenditures,All Other Operating Expenditures,Total Operating Expenditures,Total Capital Expenditures,Total persons employed,# of ALA MLS Librarian FTEs,# of Librarian FTEs,FTE All other paid staff,Staff FTE,FTE Volunteers,Books Children Held,Books Young Adult Held,Total Print Materials Held,# of Physical Audio Materials,# of Physical Video Materials,Other Physical Items,Total Physical Items,# of Current Serial Subscriptions,# of Electronic Books,# of Downloadable Audio Materials,# of Downloadable Video Materials,Electronic Collections Locally Funded,Electronic Collections State Funded (no more than 6),# of Electronic Collections,"Hours Open, All Outlets",Library Visits,Library visits reporting method,Reference Questions,Reference transactions reporting method,Do you charge late fines?,Charge per day for Adults,For Young Adults,For Children,Do you lend laptops?,Do you lend hot spots?,Circulation of Childrens Materials,Circulation of Non English Materials,ILL loans to others,ILL loans received,Circulation of Other Physical Items,Physical Item Circulation,Circulation of Electronic Materials,Successful Retrieval of Electronic Information,Total Annual Circulation,Total Electronic Content Use,Total Content Use,Are you able to report live programming and virtual programming separately?,# of Programs,Total Program Attendance,# of Children's Programs (calculated),Children's Program Attendance,# of Pre School Programs,# of Children's Programs for Ages 0-5 (calculated),"# of Children's Programs (ages 0-5) - Live, In-person","# of Children's Programs (ages 0-5) - Live, Virtual",Pre-School Program Attendance,Children's Program Attendance (calculated),"# of Children's Program Attendees (ages 0-5) - Live, In-person","# of Children's Program Attendees (ages 0-5) - Live, Virtual",# of School Aged Programs,# of Children's Programs for Ages 6-11,"# of Children's Programs (age 6-11) - Live, In-person","# of Children's Programs (age 6-11) - Live, Virtual",School Aged Program Attendance,Children's Program Attendance,"# of Children's Program Attendees (age 6-11) - Live, In-person","# of Children's Program Attendees (age 6-11) - Live, Virtual",# of Young Adult Programs,# of Young Adult Programs (calculated),"# of Young Adult Programs - Live, In-person","# of Young Adult Programs - Live, Virtual",Young Adult Program Attendance,Young Adult Program Attendance (calculated),"Young Adult Program Attendance - Live, In-person","Young Adult Program Attendance - Live, Virtual",# of Adult Programs,# of Adult Programs (calculated),"# of Adult Programs - Live, In-person","# of Adult Programs - Live, Virtual",Adult Program Attendance,Adult Program Attendance (calculated),"Adult Program Attendance - Live, In-person","Adult Program Attendance - Live, Virtual",# of Programs for all ages,# of Programs for all ages (calculated),"# of General Interest Programs - Live, In-person","# of General Interest Programs - Live, Virtual",General Audience attendance,General Audience attendance (calculated),"General Audience Program Attendance - Live, In-person","General Audience Program Attendance - Live, Virtual","Of the above programs, how many were offsite?",Attendance at offsite programs,# recordings of program content,# views of recorded program content,# on-demand views of recorded live programs,CIPA Compliant,Annual Uses of Public Internet Computers,Reporting Method for Uses of Computers,Website visits,Wireless Sessions Per Year,Reporting Method for Wifi Sessions,# of Internet Terminals,# of self-directed activities,# of participants,Describe activities,FSCS ID,Fiscal Year
A. K. SMILEY PUBLIC LIBRARY,San Bernardino,Municipal Library,"Municipal Government (city, town or village) (exactly)",Not a Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Non-affiliated,125 W. VINE ST.,REDLANDS,92373,4728,(909) 798-7565,-1,http://www.akspl.org,37,Yes,Yes,Yes,Yes,Yes,No,No,No,"71,154","51,789","16,857",1,0,0,1,"64,636","$2,458,139 ","$68,686 ","$23,000 ","$1,336,231 ","$3,886,056 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,523,659 ","$865,194 ","$2,388,853 ","$154,520 ","$30,574 ","$185,094 ","$91,105 ","$20,010 ","$296,209 ","$709,379 ","$3,394,441 ","$60,477 ",32,2,2,24.4,26.4,3.71,"30,137","4,025","111,086","6,378","2,779",52,"120,295",239,"26,660","9,830","27,175",19,4,23,921,"37,246",Annual Count,"20,516",Annual Count,Yes,$0.20 ,$0.20 ,$0.20 ,Yes,No,"67,621",81,0,1,0,"142,827","32,151","42,355",,"74,506","217,333",Yes,448,"18,842",224,"14,415",0,105,0,105,0,"9,463",0,"9,463",0,119,3,116,0,"4,952",610,"4,342",0,0,0,0,0,0,0,0,0,196,6,190,0,"3,119",173,"2,946",12,28,13,3,106,"1,308",880,322,0,0,32,387,374,No,"1,966",Annual Count,"353,448","3,042",Annual Count,23,0,0,N/A,CA0165,20-21
ALAMEDA COUNTY LIBRARY,Alameda,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,Pacific Library Partnership,2450 STEVENSON BLVD.,FREMONT,94538,2326,(510) 745-1504,(510) 745-1400,http://www.aclibrary.org,572,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"584,585","360,690","25,436",0,10,1,11,"208,743","$32,552,471 ","$162,585 ","$11,227 ","$3,549,482 ","$36,275,765 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$14,738,950 ","$7,317,684 ","$22,056,634 ","$2,185,730 ","$69,846 ","$2,255,576 ","$1,866,644 ","$266,294 ","$4,388,514 ","$9,458,759 ","$35,903,907 ","$725,651 ",272,18,73,170,243,0,"531,889","49,437","950,549","35,973","109,606",677,"1,096,805",960,"222,002","25,479","50,477",115,4,119,"1,713","130,369",Annual Count,"61,180",Annual Estimate Based on Typical Week(s),No,,,,Yes,Yes,"1,508,422","100,466","9,092","48,928",0,"1,948,715","1,065,221","236,393",,"1,301,614","3,250,329",Yes,"1,334","24,646",389,"12,918",,143,0,143,,"8,767",,"8,767",,246,246,0,,"4,151",0,"4,151",,253,154,99,,"2,027","1,427",600,,354,0,354,,"1,973",0,"1,973",,338,0,338,,"7,728",0,"7,728",0,0,19,"4,410",0,No,"14,598",Annual Count,"297,984","40,110",Annual Count,213,51,"19,179","""Grab and Go"" Craft Kits, such as: Pride Month ""Paper Rainbow"" Craft Indigenous People's Day STEAM Mathematical Dreamcatcher Women's Equality Day Balance Scale, STEAM Straw Rocket Craft",CA0001,20-21
ALAMEDA FREE LIBRARY,Alameda,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,1550 OAK ST,ALAMEDA,94501,4411,(510) 747-7747,(510) 747-7713,http://www.alamedafree.org,12,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"80,884","77,447","15,398",1,2,0,3,"54,200","$5,855,334 ",$0 ,$0 ,$0 ,"$5,855,334 ","$4,900 ",$0 ,$0 ,$0 ,"$4,900 ","$1,880,184 ","$814,910 ","$2,695,094 ","$235,000 ","$7,100 ","$242,100 ","$175,000 ",$0 ,"$417,100 ","$1,807,205 ","$4,919,399 ",$0 ,50,8,11,18,29,0,"55,760","7,580","219,766","7,974","8,360",2,"236,102",221,"21,867","13,750",0,60,4,64,"1,836","8,189",Annual Count,"5,685",Annual Count,No,$0.00 ,$0.00 ,$0.00 ,No,No,"229,352","1,347","2,037","2,234",-1,"215,658","51,412",-1,,"51,412","267,070",No,886,"17,712",332,"7,965",284,284,,,"5,673","5,673",,,48,48,,,"2,292","2,292",,,29,29,,,679,679,,,93,93,,,"2,890","2,890",,,432,432,,,"6,178","6,178",,,7,0,-1,-1,-1,No,766,Annual Count,"897,734","3,799",Annual Count,53,1,150,Story Walk,CA0002,20-21
ALHAMBRA CIVIC CENTER LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,101 S. FIRST ST.,ALHAMBRA,91801,3488,(626) 570-5008,(626) 570-3212,http://alhambralibrary.org,8,Yes,Yes,Yes,Yes,Yes,No,Yes,No,"86,258","82,517","9,808",1,0,0,1,"45,000","$3,250,145 ",$0 ,$0 ,"$10,000 ","$3,260,145 ","$250,143 ",$0 ,$0 ,$0 ,"$250,143 ","$1,757,584 ","$601,723 ","$2,359,307 ","$131,184 ","$6,448 ","$137,632 ","$84,550 ",$0 ,"$222,182 ","$651,740 ","$3,233,229 ",$0 ,37,12,12,20,32,3,"45,760","5,273","99,647","3,994","3,328",64,"107,033",92,"6,346","120,722","6,004",35,5,40,782,"17,692",Annual Count,"19,591",Annual Count,Yes,$0.25 ,$0.25 ,$0.15 ,No,No,"59,369","3,681",15,0,94,"80,373","33,646","35,194","114,019","68,840","149,213",Yes,127,"6,714",19,"2,393",,11,2,9,,"1,733",528,"1,205",,8,4,4,,660,490,170,,49,0,49,,"2,936",0,"2,936",,59,20,39,,"1,385",967,418,,0,0,0,,0,0,0,10,551,55,"6,319",0,Yes,"3,643",Annual Count,"102,312","15,164",Annual Count,63,15,"4,949","The library held quarterly story strolls starting in the winter. During the library's closure and the limited service months, the library engaged residents through social media quizzes and craft kit (for all ages, monthly) pick ups.",CA0003,20-21
ALPINE COUNTY LIBRARY/ARCHIVES,Alpine,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,270 LARAMIE ST.,MARKLEEVILLE,96120,187,(530) 694-2120,(530) 694-2120,http://www.alpinecountyca.gov/Index.aspx?NID=107,723,Yes,Yes,Yes,Yes,Yes,No,No,No,"1,135","3,370",527,1,1,1,3,"3,447","$323,197 ","$9,000 ","$8,600 ","$2,000 ","$342,797 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$164,953 ","$85,409 ","$250,362 ","$11,500 ",$0 ,"$11,500 ","$9,200 ","$8,000 ","$28,700 ","$82,777 ","$361,839 ",$0 ,4,1,1,1.98,2.98,0,"7,510",756,"21,211","1,216","2,755",116,"25,298",54,"48,834","295,172","22,284",3,2,5,598,157,Annual Count,541,Annual Count,No,$0.00 ,$0.00 ,$0.00 ,Yes,No,558,0,0,0,13,407,"3,246",-1,,"3,246","3,653",Yes,70,335,11,85,,11,11,0,,85,85,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,14,10,4,,65,0,65,,45,0,45,,185,0,185,10,55,0,0,0,Yes,3,Annual Count,-1,"17,076",Annual Estimate Based on Typical Week(s),8,3,110,"Drive-through Teddy Bear Parade in Markleeville and BV (April and May). distributed 85 go bags, with books, and goodies donated from local organizations. Staff recorded 9 virtual story & craft sessions. Still available on website.",CA0004,20-21
ALTADENA LIBRARY DISTRICT,Los Angeles,Special District Library,Metropolitan Area (most nearly),Member of a Federation or Cooperative,Library District,Southern California Library Cooperative,600 E. MARIPOSA ST.,ALTADENA,91001,2211,(626) 798-0833,(626) 798-0833,http://www.altadenalibrary.org,9,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"43,080","12,377","3,161",1,1,0,2,"27,750","$3,748,374 ","$54,239 ",$0 ,"$73,438 ","$3,876,051 ",$0 ,"$345,835 ",$0 ,$0 ,"$345,835 ","$1,842,901 ","$389,328 ","$2,232,229 ","$177,132 ","$19,320 ","$196,452 ","$107,414 ","$38,024 ","$341,890 ","$1,102,285 ","$3,676,404 ","$436,998 ",29,9,9,17,26,2,"21,905","4,255","56,705","5,392","5,385",250,"67,732",187,"499,666","418,418","20,670",10,6,16,"3,612","8,361",Annual Count,"1,455",Annual Count,No,,,,Yes,Yes,"29,003",782,68,29,"1,031","62,351","60,826","11,880",,"72,706","135,057",Yes,603,"5,192",246,"3,086",84,202,12,106,"1,382","2,910",109,"1,419",0,44,9,35,-1,176,19,157,0,86,2,84,-1,387,23,364,102,266,6,158,348,"1,583",150,"1,085",0,5,3,2,0,136,126,10,7,134,135,"93,126","20,723",Yes,"1,070",Annual Count,"152,837","16,301",Annual Count,47,15,"1,255","Children's Our Summer Kits Included giveaway books, supplies for suggested crafts, instructions, sidewalk chalk Teen Our Summer Adventure Book staff created activity and idea book for Teens First Page Fridays Readers advisory YouTube videos for Kids Our Summer Craft videos Pre-recorded videos with instructions for crafts that go along with the Our Summer Kits StoryWalks This Day in June by Gail E. Pitman Family Reunion by Chad and Dad Richardson",CA0005,20-21
AMADOR COUNTY LIBRARY,Amador,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,49-99 Cooperative Library System,530 SUTTER ST.,JACKSON,95642,2379,(209) 223-6400,(209) 223-6400,http://www.amadorgov.org/departments/library,594,Yes,Yes,Yes,Yes,Yes,No,Yes,No,"37,377","29,000","6,155",1,4,0,5,"11,750","$834,009 ","$31,427 ",$0 ,"$14,903 ","$880,339 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$347,490 ","$192,014 ","$539,504 ","$23,000 ",$721 ,"$23,721 ","$17,641 ","$5,000 ","$46,362 ","$159,928 ","$745,794 ",$0 ,9,1,1,6.75,7.75,0.25,"20,439","2,046","89,703","2,910","3,640",0,"96,253",33,"565,880","122,101","21,293",15,4,19,"1,140",983,Annual Count,"2,389",Annual Count,Yes,$0.10 ,$0.10 ,$0.10 ,No,No,"8,143","1,120","1,934","4,239",-1,"30,734","14,384",-1,,"14,384","45,118",Yes,65,"1,627",55,"1,580",,55,0,55,,"1,580",0,"1,580",,0,0,0,,0,0,0,,0,0,0,,0,0,0,,10,0,10,,47,0,47,,0,0,0,,0,0,0,-1,-1,0,0,0,Yes,194,Annual Count,"20,829",-1,,22,55,70,Children's take home crafts,CA0006,20-21
ANAHEIM PUBLIC LIBRARY,Orange,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Santiago,500 W. BROADWAY,ANAHEIM,92805,3699,(714) 765-1810,(714) 765-1880,http://anaheim.net/library,49,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"353,468","260,441","63,227",1,7,1,9,"150,082","$11,716,186 ","$4,301 ","$350,800 ","$207,716 ","$12,279,003 ","$218,533 ",$0 ,"$95,000 ",$0 ,"$313,533 ","$3,895,889 ","$2,873,307 ","$6,769,196 ","$411,784 ","$12,309 ","$424,093 ","$174,841 ","$33,490 ","$632,424 ","$3,232,901 ","$10,634,521 ","$57,995 ",136,21.5,22,44.25,66.25,0.25,"235,677","33,630","495,168","6,514","38,135","2,450","542,267",199,"12,265","2,892",0,16,6,22,"5,486","123,427",Annual Count,"132,623",Annual Count,Yes,$0.20 ,$0.20 ,$0.20 ,No,No,"240,023","17,176",0,0,"1,109","666,495","116,897","783,395",,"900,292","1,566,787",Yes,"1,485","354,706",375,"187,068",,67,42,25,,"13,184",509,"12,675",,308,249,59,,"173,884","12,580","161,304",,120,117,3,,"8,066","1,402","6,664",,141,130,11,,"21,113","10,951","10,162",,849,804,45,,"138,459","85,524","52,935",241,"53,619",85,"186,289","2,834",Yes,"16,325",Annual Count,"251,622","829,927",Annual Count,156,85,"13,195","STEAM kits, crafts, etc. ",CA0007,20-21
ARCADIA PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,20 W. DUARTE ROAD,ARCADIA,91006,6999,(626) 821-5567,(626) 821-5569,http://www.arcadiaca.gov/library,12,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"57,660","25,084","2,211",1,0,0,1,"48,000","$3,933,600 ","$23,967 ","$7,956 ","$59,391 ","$4,024,914 ","$47,090 ",$0 ,$0 ,$0 ,"$47,090 ","$1,518,087 ","$1,103,694 ","$2,621,781 ","$154,109 ","$13,362 ","$167,471 ","$83,527 ","$43,628 ","$294,626 ","$664,887 ","$3,581,294 ","$47,090 ",36,10.5,10.5,16.63,27.13,0.6,"78,187","7,947","167,964","6,196","6,983",326,"181,469",176,"18,306","5,699",321,19,6,25,188,"31,810",Annual Count,"13,665",Annual Count,Yes,$0.25 ,$0.25 ,$0.25 ,Yes,No,"93,106","5,046",0,0,46,"135,327","59,145","19,484",,"78,629","213,956",Yes,101,519,25,188,,4,0,4,,15,0,15,,21,0,21,,173,0,173,,20,0,20,,134,0,134,,56,0,56,,197,0,197,,0,0,0,,0,0,0,0,0,127,"6,760","1,872",Yes,452,Annual Count,"109,978","4,890",Annual Count,65,15,"4,965",Craft and activity kits for children and adults. ,CA0008,20-21
AZUSA CITY LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,729 N. DALTON AVE.,AZUSA,91702,2550,(626) 812-5232,(626) 812-5268,http://www.azusaca.gov/library,9,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"49,587","53,719","8,091",1,0,1,2,"18,497","$1,384,413 ","$42,500 ","$47,149 ","$40,000 ","$1,514,062 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$861,295 ","$389,018 ","$1,250,313 ","$45,500 ","$1,000 ","$46,500 ","$27,000 ",$0 ,"$73,500 ","$72,950 ","$1,396,763 ",$0 ,24,3,3,12.5,15.5,2,"41,960","2,701","89,214","2,301","2,496",49,"94,060",6,"519,644","425,641","49,591",5,3,8,344,-1,Annual Count,-1,Annual Estimate Based on Typical Week(s),Yes,$0.30 ,$0.15 ,$0.00 ,No,No,"4,868",339,0,0,-1,"5,112","4,701",-1,,"4,701","9,813",Yes,179,"2,951",130,"1,621",,100,4,96,,860,25,835,,30,3,27,,761,64,697,,3,3,0,,0,0,0,,23,0,23,,851,0,851,,23,0,23,,479,0,479,0,0,27,"2,113","1,848",Yes,-1,Annual Estimate Based on Typical Week(s),-1,-1,Annual Estimate Based on Typical Week(s),30,74,"7,009","Recorded craft videos, Grab and Go craft bags for curbside pick-up, informational recorded videos about local history, and fitness kits for seniors. ",CA0010,20-21
