"","Location","Year","PopulationofTheLegalServiceArea","RegisteredUsersasofJune30","ChildrenBorrowers","NumofCentralLibraries","NumofBranchLibraries","NumofBookmobiles","NumofOutlets","LibraryVisits","HoursOpenAllOutlets","Totalpersonsemployed","NumofLibrarianFTEs","FTEAllotherpaidstaff","NumofALAMLSLibrarianFTEs","TotalOperatingIncome","LocalGovernmentIncome","StateIncome","FederalIncome","CapitalOutlayIncomefromLocalSources","CapitalOutlayIncomefromOtherSources","TotalCapitalOutlayIncome","OtherOperatingIncome","TotalOperatingExpenditures","TotalCollectionExpenditures","PrintMaterialsExpenditures","PrintSerialSubscriptionExpenditures","ElectronicMaterialsExpenditures","OtherMaterialsExpenditures","TotalPrintMaterialsExpenditures","SalaryWagesExpenditures","EmployeeBenefitsExpenditures","TotalStaffExpenditures","TotalCapitalExpenditures","AllOtherOperatingExpenditures","BooksChildrenHeld","BooksYoungAdultHeld","NumofPhysicalAudioMaterials","NumofPhysicalVideoMaterials","NumofCurrentSerialSubscriptions","NumofElectronicBooks","NumofElectronicCollections","TotalPrintMaterialsHeld","NumofDownloadableAudioMaterials","NumofDownloadableVideoMaterials","CirculationofNonEnglishMaterials","CirculationofElectronicMaterials","ILLloanstoothers","ILLloansreceived","ReferenceQuestions","NumofPrograms","NumofYoungAdultPrograms","YoungAdultProgramAttendance","ChildrensProgramAttendance","TotalProgramAttendance","NumofAdultPrograms","AdultProgramAttendance","CIPACompliant","AnnualUsesofPublicInternetComputers","NumofInternetTerminals","Websitevisits","NumofChildrensPrograms"
"1","A.K.SMILEYPUBLICLIBRARY","16-17",69851,62991,19575,1,0,0,1,271022,3303,33,5,20,3,2745029,1964893,52000,0,0,0,0,728136,2617509,240590,140915,29863,49943,19869,170778,1349533,579087,1928620,0,448299,29227,4531,5614,2726,365,9855,16,136573,5953,30,311,15786,0,8,33865,1135,2,48,16668,22306,173,5590,0,22920,24,80982,480
"2","ALAMEDACOUNTYLIBRARY","16-17",580104,395120,66683,1,9,1,10,2241187,18696,250,80,163,74,29878083,25135283,127491,7206,0,0,0,4608103,28583101,4159919,2202031,96280,1177584,684024,2298311,10913714,6334005,17247719,383247,7175463,491018,49025,49121,118387,1281,132470,45,937478,15331,0,605670,330477,23249,34456,282504,14095,1924,16167,130634,183429,2921,36628,0,324601,353,2594035,4625
"3","ALAMEDAFREELIBRARY","16-17",79928,68323,15806,1,2,0,3,391821,5772,58,11,20.75,11,4015993,3974303,41690,0,35975,0,35975,0,3796869,304512,203469,28620,60421,12002,232089,1901275,608165,2509440,0,982917,63296,6690,8023,8836,198,5400,48,176200,1425,0,8984,17360,182,890,62707,1084,65,589,20378,23365,125,2398,0,23976,53,152981,447
"4","ALHAMBRACIVICCENTERLIBRARY","16-17",86922,104550,28910,1,0,0,1,661225,2880,43,11,21,11,3222767,3101367,0,0,173189,0,173189,121400,3011518,169024,108460,6703,53061,800,115163,1619857,638710,2258567,4300,583927,46124,6100,4637,5729,149,717,19,117552,129,0,16922,3155,120,0,98187,954,32,544,12228,15628,210,2856,1,97506,89,246333,356
"5","ALPINECOUNTYLIBRARY/ARCHIVES","16-17",1151,3019,534,1,0,1,2,21915,2934,5,1,0,1,334142,298677,12965,0,0,0,0,22500,320266,16635,10000,1200,3435,2000,11200,124234,95536,219770,0,83861,7007,838,1085,2362,94,75875,3,23038,2617,0,0,211,0,0,445,110,0,0,364,2231,62,1867,1,1747,9,4338,24
"6","ALTADENALIBRARYDISTRICT","16-17",53236,15701,3865,1,1,0,2,188375,4926,33,7,13,7,3250132,2978420,26300,13500,0,0,319998,231912,3044586,241061,162404,12954,23618,42085,175358,1452393,617797,2070190,412767,733335,27468,5151,5046,4841,199,2016,2,79826,188,0,1709,6012,399,444,6620,650,81,998,5589,6586,63,2059,1,38582,66,173239,253
"7","AMADORCOUNTYLIBRARY","16-17",38382,31627,6712,1,0,0,5,70229,4910,8,1,5.25,1,778108,691950,27912,0,0,0,0,58246,639191,35791,16351,865,12575,6000,17216,304250,150244,454494,0,148906,20953,2220,3650,6740,42,4398,10,80726,3902,0,490,6690,2040,1960,1634,370,10,70,3163,3586,38,353,1,13800,22,51314,161
"8","ANAHEIMPUBLICLIBRARY","16-17",358546,230951,57301,1,6,1,8,981637,16023,170,24.62,48.26,23.62,10160469,9496384,18840,185300,128879,0,128879,459945,9993913,825919,355772,14524,370296,85327,370296,4229682,2418396,6648078,317743,2519916,234685,36401,10072,39470,495,5498,0,477476,1296,0,42613,43708,5127,4,82921,8345,354,7009,128948,143422,375,7465,1,144364,228,197608,3808
"9","ARCADIAPUBLICLIBRARY","16-17",57374,39025,0,1,0,0,1,505646,3038,42,11.5,16,11.5,3670062,3614262,0,0,325590,0,325590,55800,3458299,302235,165928,14977,92807,28523,180905,1605000,902200,2507200,325590,648864,55295,5745,7019,6526,196,17897,16,179270,5708,102,24138,20626,578,51,43485,1328,143,7035,14700,25977,719,4242,1,45438,74,166468,233
"10","AZUSACITYLIBRARY","16-17",49762,46779,6523,1,0,1,1,201267,2916,26,3,15,3,1237120,1093270,20951,45461,0,0,0,77438,1093270,58250,45000,5000,8250,0,50000,683090,299245,982335,0,52685,46723,3846,3780,3207,66,6755,4,101256,3387,30,8702,5422,174,37,9120,611,4,68,9184,13430,209,4178,1,34814,33,23256,199
