FiscalYear,Location,County,LibraryType,GeographicCode,InterlibraryRelationshipcode,LegalBasisCode,CLSASystemLibrary,StreetAddress,City,Zip,Zip4,LibrarysWebAddress,PopulationofTheLegalServiceArea,RegisteredUsersasofJune30,ChildrenBorrowers,NumofCentralLibraries,NumofBranchLibraries,NumofBookmobiles,NumofOutlets,LibraryVisits,HoursOpenAllOutlets,Totalpersonsemployed,NumofLibrarianFTEs,FTEAllotherpaidstaff,NumofALAMLSLibrarianFTEs,TotalOperatingIncome,LocalGovernmentIncome,StateIncome,FederalIncome,CapitalOutlayIncomefromLocalSources,CapitalOutlayIncomefromStateSources,CapitalOutlayIncomefromFederalSources,CapitalOutlayIncomefromOtherSources,TotalCapitalOutlayIncome,OtherOperatingIncome,TotalOperatingExpenditures,TotalCollectionExpenditures,PrintMaterialsExpenditures,PrintSerialSubscriptionExpenditures,ElectronicMaterialsExpenditures,OtherMaterialsExpenditures,TotalPrintMaterialsExpenditures,SalaryWagesExpenditures,EmployeeBenefitsExpenditures,TotalStaffExpenditures,TotalCapitalExpenditures,AllOtherOperatingExpenditures,BooksChildrenHeld,BooksYoungAdultHeld,NumofPhysicalAudioMaterials,NumofPhysicalVideoMaterials,NumofCurrentSerialSubscriptions,NumofElectronicBooks,NumofElectronicCollections,TotalPrintMaterialsHeld,NumofDownloadableAudioMaterials,NumofDownloadableVideoMaterials,CirculationofNonEnglishMaterials,CirculationofElectronicMaterials,ILLloanstoothers,ILLloansreceived,ReferenceQuestions,NumofPrograms,NumofYoungAdultPrograms,YoungAdultProgramAttendance,ChildrensProgramAttendance,TotalProgramAttendance,NumofAdultPrograms,AdultProgramAttendance,CIPACompliant,AnnualUsesofPublicInternetComputers,NumofInternetTerminals,Websitevisits,FSCSID,NumofChildrensPrograms
16-17,A. K. SMILEY PUBLIC LIBRARY,San Bernardino,Municipal Library,"Municipal Government (city, town or village) (exactly)",Not a Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Non-affiliated,125 W. VINE ST.,REDLANDS,92373,4728,http://www.akspl.org,"69,851","62,991","19,575",1,0,0,1,"271,022","3,303",33,5,20,3,"$2,745,029 ","$1,964,893 ","$52,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$728,136 ","$2,617,509 ","$240,590 ","$140,915 ","$29,863 ","$49,943 ","$19,869 ","$170,778 ","$1,349,533 ","$579,087 ","$1,928,620 ",$0 ,"$448,299 ","29,227","4,531","5,614","2,726",365,"9,855",16,"136,573","5,953",30,311,"15,786",0,8,"33,865","1,135",2,48,"16,668","22,306",173,"5,590",No,"22,920",24,"80,982",CA0165,480
16-17,ALAMEDA COUNTY LIBRARY,Alameda,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,Pacific Library Partnership,2450 STEVENSON BLVD.,FREMONT,94538,2326,http://www.aclibrary.org,"580,104","395,120","66,683",1,9,1,10,"2,241,187","18,696",250,80,163,74,"$29,878,083 ","$25,135,283 ","$127,491 ","$7,206 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$4,608,103 ","$28,583,101 ","$4,159,919 ","$2,202,031 ","$96,280 ","$1,177,584 ","$684,024 ","$2,298,311 ","$10,913,714 ","$6,334,005 ","$17,247,719 ","$383,247 ","$7,175,463 ","491,018","49,025","49,121","118,387","1,281","132,470",45,"937,478","15,331",0,"605,670","330,477","23,249","34,456","282,504","14,095","1,924","16,167","130,634","183,429","2,921","36,628",No,"324,601",353,"2,594,035",CA0001,"4,625"
16-17,ALAMEDA FREE LIBRARY,Alameda,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,1550 OAK ST,ALAMEDA,94501,4411,http://www.alamedaca.gov,"79,928","68,323","15,806",1,2,0,3,"391,821","5,772",58,11,20.75,11,"$4,015,993 ","$3,974,303 ","$41,690 ",$0 ,"$35,975 ",$0 ,$0 ,$0 ,"$35,975 ",$0 ,"$3,796,869 ","$304,512 ","$203,469 ","$28,620 ","$60,421 ","$12,002 ","$232,089 ","$1,901,275 ","$608,165 ","$2,509,440 ",$0 ,"$982,917 ","63,296","6,690","8,023","8,836",198,"5,400",48,"176,200","1,425",0,"8,984","17,360",182,890,"62,707","1,084",65,589,"20,378","23,365",125,"2,398",No,-1,53,,CA0002,447
16-17,ALHAMBRA CIVIC CENTER LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,101 S. FIRST ST.,ALHAMBRA,91801,3488,http://alhambralibrary.org,"86,922","104,550","28,910",1,0,0,1,"661,225","2,880",43,11,21,11,"$3,222,767 ","$3,101,367 ",$0 ,$0 ,"$173,189 ",$0 ,$0 ,$0 ,"$173,189 ","$121,400 ","$3,011,518 ","$169,024 ","$108,460 ","$6,703 ","$53,061 ",$800 ,"$115,163 ","$1,619,857 ","$638,710 ","$2,258,567 ","$4,300 ","$583,927 ","46,124","6,100","4,637","5,729",149,717,19,"117,552",129,0,"16,922","3,155",120,0,"98,187",954,32,544,"12,228","15,628",210,"2,856",Yes,"97,506",89,"246,333",CA0003,356
16-17,ALPINE COUNTY LIBRARY/ARCHIVES,Alpine,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,270 LARAMIE ST.,MARKLEEVILLE,96120,187,http://www.alpinecountyca.gov/Index.aspx?NID=107,"1,151","3,019",534,1,0,1,2,"21,915","2,934",5,1,0,1,"$334,142 ","$298,677 ","$12,965 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$22,500 ","$320,266 ","$16,635 ","$10,000 ","$1,200 ","$3,435 ","$2,000 ","$11,200 ","$124,234 ","$95,536 ","$219,770 ",$0 ,"$83,861 ","7,007",838,"1,085","2,362",94,"75,875",3,"23,038","2,617",0,0,211,0,0,445,110,0,0,364,"2,231",62,"1,867",Yes,"1,747",9,"4,338",CA0004,24
16-17,ALTADENA LIBRARY DISTRICT,Los Angeles,Special District Library,Metropolitan Area (most nearly),Member of a Federation or Cooperative,Library District,Southern California Library Cooperative,600 E. MARIPOSA ST.,ALTADENA,91001,2211,http://www.altadenalibrary.org,"53,236","15,701","3,865",1,1,0,2,"188,375","4,926",33,7,13,7,"$3,250,132 ","$2,978,420 ","$26,300 ","$13,500 ",$0 ,$0 ,"$319,998 ",$0 ,"$319,998 ","$231,912 ","$3,044,586 ","$241,061 ","$162,404 ","$12,954 ","$23,618 ","$42,085 ","$175,358 ","$1,452,393 ","$617,797 ","$2,070,190 ","$412,767 ","$733,335 ","27,468","5,151","5,046","4,841",199,"2,016",2,"79,826",188,0,"1,709","6,012",399,444,"6,620",650,81,998,"5,589","6,586",63,-1,Yes,"38,582",66,"173,239",CA0005,253
16-17,AMADOR COUNTY LIBRARY,Amador,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,49-99 Cooperative Library System,530 SUTTER ST.,JACKSON,95642,2379,http://www.amadorgov.org/departments/library,"38,382","31,627","6,712",1,0,0,5,"70,229","4,910",8,1,5.25,1,"$778,108 ","$691,950 ","$27,912 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$58,246 ","$639,191 ","$35,791 ","$16,351 ",$865 ,"$12,575 ","$6,000 ","$17,216 ","$304,250 ","$150,244 ","$454,494 ",$0 ,"$148,906 ","20,953","2,220","3,650","6,740",42,"4,398",10,"80,726","3,902",0,490,"6,690","2,040","1,960","1,634",370,10,70,"3,163","3,586",38,353,Yes,"13,800",22,"51,314",CA0006,161
16-17,ANAHEIM PUBLIC LIBRARY,Orange,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Santiago,500 W. BROADWAY,ANAHEIM,92805,3699,http://anaheim.net/library,"358,546","230,951","57,301",1,6,1,8,"981,637","16,023",170,24.62,48.26,23.62,"$10,160,469 ","$9,496,384 ","$18,840 ","$185,300 ","$128,879 ",$0 ,$0 ,$0 ,"$128,879 ","$459,945 ","$9,993,913 ","$825,919 ","$355,772 ","$14,524 ","$370,296 ","$85,327 ","$370,296 ","$4,229,682 ","$2,418,396 ","$6,648,078 ","$317,743 ","$2,519,916 ","234,685","36,401","10,072","39,470",495,"5,498",0,"477,476","1,296",0,"42,613","43,708","5,127",4,"82,921","8,345",354,"7,009","128,948","143,422",375,"7,465",Yes,"144,364",228,"197,608",CA0007,"3,808"
16-17,ARCADIA PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,20 W. DUARTE ROAD,ARCADIA,91006,6999,http://www.arcadiaca.gov/library,"57,374","39,025",0,1,0,0,1,"505,646","3,038",42,11.5,16,11.5,"$3,670,062 ","$3,614,262 ",$0 ,$0 ,"$325,590 ",$0 ,$0 ,$0 ,"$325,590 ","$55,800 ","$3,458,299 ","$302,235 ","$165,928 ","$14,977 ","$92,807 ","$28,523 ","$180,905 ","$1,605,000 ","$902,200 ","$2,507,200 ","$325,590 ","$648,864 ","55,295","5,745","7,019","6,526",196,"17,897",16,"179,270","5,708",102,"24,138","20,626",578,51,"43,485","1,328",143,"7,035","14,700","25,977",719,"4,242",Yes,"45,438",74,"166,468",CA0008,233
16-17,AZUSA CITY LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,729 N. DALTON AVE.,AZUSA,91702,2550,http://www.ci.azusa.ca.us/library,"49,762","46,779","6,523",1,0,1,1,"201,267","2,916",26,3,15,3,"$1,237,120 ","$1,093,270 ","$20,951 ","$45,461 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$77,438 ","$1,093,270 ","$58,250 ","$45,000 ","$5,000 ","$8,250 ",$0 ,"$50,000 ","$683,090 ","$299,245 ","$982,335 ",$0 ,"$52,685 ","46,723","3,846","3,780","3,207",66,"6,755",4,"101,256","3,387",30,"8,702","5,422",174,37,"9,120",611,4,68,"9,184","13,430",209,"4,178",Yes,"34,814",33,"23,256",CA0010,199
16-17,BANNING LIBRARY DISTRICT,Riverside,Special District Library,School District (most nearly),Member of a Federation or Cooperative,School District,Inland Library System,21 W. NICOLET ST.,BANNING,92220,4607,http://www.banninglibrarydistrict.org/,"31,246","28,000","4,200",1,0,0,1,"25,192","2,704",9,1,9,1,"$821,900 ","$821,900 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,500 ","$1,500 ",$0 ,"$1,076,500 ","$82,000 ","$50,000 ","$5,000 ","$22,000 ","$5,000 ","$55,000 ","$607,000 ","$109,500 ","$716,500 ","$7,000 ","$278,000 ","15,589","2,046","2,086","3,431",88,"75,277",7,"59,136","1,098",63,"1,391","2,415",179,27,"10,540",513,37,292,"2,200","2,804",104,312,No,"22,527",14,"46,313",CA0167,186
16-17,BEAUMONT LIBRARY DISTRICT,Riverside,Special District Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,Library District,Inland Library System,125 E. EIGHTH ST.,BEAUMONT,92223,2194,http://bld.lib.ca.us,"83,997","39,011","9,717",1,0,1,1,"180,000","3,952",22,6.5,5.75,6.5,"$1,368,650 ","$1,322,623 ","$38,261 ",$0 ,"$150,000 ",$0 ,$0 ,$0 ,"$150,000 ","$7,766 ","$1,501,842 ","$111,703 ","$70,762 ","$1,620 ","$22,108 ","$17,213 ","$72,382 ","$782,538 ","$303,189 ","$1,085,727 ","$38,739 ","$304,412 ","20,994","3,159",643,"7,330",31,"65,667",6,"73,293","6,838",0,"1,735","2,006",0,14,"12,100","2,089",35,413,"17,193","17,994",32,388,No,"7,973",8,,CA0168,"1,011"
16-17,BELVEDERE-TIBURON LIBRARY,Marin,Joint Powers Authority,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,Multi-jurisdictional,NorthNet Library System,1501 TIBURON BLVD,TIBURON,94920,2530,https://beltiblibrary.org,"11,680","8,736","1,033",1,0,0,1,"120,633","3,021",34,9,8,8,"$2,350,990 ","$2,098,443 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$252,547 ","$2,471,187 ","$198,387 ","$120,019 ","$15,117 ","$45,670 ","$17,581 ","$135,136 ","$1,257,369 ","$357,053 ","$1,614,422 ",$0 ,"$658,378 ","16,999","2,556","8,139","6,464",593,"356,294",40,"55,718","1,007,438","15,193","1,281","35,958","42,025","20,731","14,879","1,313",161,"1,691","16,725","26,838",424,"8,422",No,"16,250",23,"146,400",CA0197,364
16-17,BENICIA PUBLIC LIBRARY,Solano,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,150 E. L ST.,BENICIA,94510,3281,https://www.benicialibrary.org,"27,695","18,399","3,034",1,0,0,1,"206,674","3,050",56,6.25,12.33,6.25,"$2,172,067 ","$2,071,223 ","$24,435 ",$0 ,"$9,136 ",$0 ,$0 ,"$1,445 ","$10,581 ","$76,409 ","$2,052,221 ","$183,252 ","$99,899 ","$5,203 ","$40,651 ","$37,499 ","$105,102 ","$1,081,452 ","$473,467 ","$1,554,919 ","$10,581 ","$314,050 ","37,692","5,002","6,592","6,979",161,"6,073",19,"85,657","3,198",0,"2,526","10,315","33,132","42,337","23,630","1,401",166,"3,555","11,102","17,555",311,"2,898",No,"30,864",20,"188,958",CA0163,462
16-17,BERKELEY PUBLIC LIBRARY,Alameda,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,2090 KITTREDGE STREET,BERKELEY,94704,1427,http://www.berkeleypubliclibrary.org/,"121,238","111,863","10,648",1,4,0,5,"1,135,601","13,624",153,34.3,77.96,34.3,"$18,515,711 ","$18,007,484 ","$61,534 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$446,693 ","$17,702,945 ","$1,330,888 ","$698,860 ","$53,196 ","$408,058 ","$170,774 ","$752,056 ","$8,323,441 ","$5,368,523 ","$13,691,964 ",$0 ,"$2,680,093 ","148,928","15,470","44,333","40,647",373,"308,827",22,"429,711","461,063","39,540","11,517","225,151","19,475","24,637","209,329","4,307",681,"10,053","46,999","71,224",696,"14,172",No,"160,528",133,"948,000",CA0011,"1,465"
16-17,BEVERLY HILLS PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,444 N. REXFORD DR.,BEVERLY HILLS,90210,4877,http://www.bhpl.org,"34,646","32,567","4,827",1,0,0,2,"687,251","5,250",117,18.66,39.65,18.66,"$11,659,641 ","$11,133,981 ","$34,617 ",$0 ,"$487,339 ",$0 ,$0 ,$0 ,"$487,339 ","$491,043 ","$11,659,641 ","$578,655 ","$225,626 ","$28,003 ","$270,720 ","$54,306 ","$253,629 ","$4,322,157 ","$916,697 ","$5,238,854 ","$24,883 ","$5,842,132 ","56,229","2,463","20,944","13,423",179,"6,319",48,"192,571","1,395",844,"3,892","10,668","1,152",193,"108,138",983,4,36,"22,047","23,930",49,"1,847",Yes,"9,394",60,"328,922",CA0012,465
16-17,BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT,Ventura,Special District Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,Library District,Black Gold Cooperative Library System,119 N. EIGHTH ST.,SANTA PAULA,93060,2709,http://www.blanchardlibrary.org,"30,654","8,749","23,778",1,0,0,1,"74,849","1,872",18,0.75,8.22,0,"$893,910 ","$780,847 ","$34,040 ",$0 ,"$16,721 ",$0 ,$0 ,$0 ,"$16,721 ","$79,023 ","$767,625 ","$20,217 ","$11,570 ","$3,509 ","$5,138 ",$0 ,"$15,079 ","$400,884 ","$124,731 ","$525,615 ",$0 ,"$221,793 ","22,213","2,400","1,174","2,580",76,"91,557",4,"63,198","12,942",372,"4,440","16,675","17,734","5,469","4,846",385,23,405,"6,699","7,289",34,185,Yes,"16,166",14,,CA0131,164
16-17,BRAWLEY PUBLIC LIBRARY,Imperial,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,400 MAIN ST.,BRAWLEY,92227,2491,brawley-ca.gov/section/Library,"26,928","9,015","2,568",1,0,0,2,"61,347","2,636",12,2,8,0,"$614,855 ","$590,047 ","$24,808 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$590,047 ","$37,043 ","$27,079 ","$3,216 ",$0 ,"$6,748 ","$30,295 ","$322,747 ","$129,148 ","$451,895 ",$0 ,"$101,109 ","15,791","2,241","2,791",593,42,0,0,"52,264",0,0,"8,194",0,6,11,"5,329",68,8,93,"1,187","1,341",4,61,Yes,"6,012",21,,CA0013,28
16-17,BUENA PARK LIBRARY DISTRICT,Orange,Special District Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,Library District,Santiago,7150 LA PALMA AVE.,BUENA PARK,90620,2547,http://www.buenaparklibrary.org/,"83,884","28,998","5,034",1,0,0,1,"273,900","2,808",41,6,23,5,"$3,413,506 ","$1,916,328 ","$5,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,492,178 ","$3,457,361 ","$166,374 ","$77,815 ","$6,400 ","$58,499 ","$23,660 ","$84,215 ","$1,357,316 ","$1,507,336 ","$2,864,652 ","$390,244 ","$426,335 ","40,463","5,356","6,758","7,934",97,"18,588",17,"105,548",454,0,"9,434","10,548",0,14,"39,036","1,176",90,"1,416","25,382","27,481",84,683,No,"36,956",22,"59,588",CA0014,501
