Location,County,Library Type,Geographic Code,Interlibrary Relationship code,Legal Basis Code,CLSA System Library,Street Address,City,Zip,Zip +4,Public Phone Number - Administration,Reference Phone Number,Library's Web Address,ILL Period # of weeks,ILL Photocopy free up to 10 pages?,Copy Fee,Size Square Mile,Population of The Legal Service Area,Population of Children Ages Under 5,Population of Children Ages 5-14,Population Age 0-14,Population Over 14 Years,Registered Users as of June 30,Children Borrowers,# of Central Libraries,# of Branch Libraries,# of Bookmobiles,# of Stations,Total # of Outlets,Total # of Service Points,Library Visits,"Hours Open, All Outlets",FTE Volunteers,Total persons employed,FTE Special Professionals,# of Librarian FTEs,FTE All other paid staff,FTE Other,FTE Library Technical Assistants,# of ALA MLS Librarian FTEs,Staff FTE,Total Operating Income,Local Government Income,State Income,Federal Income,Capital Outlay Income from Local Sources,Capital Outlay Income from State  Sources,Capital Outlay Income from Federal Sources,Capital Outlay Income from Other Sources,Total Capital Outlay Income,Other Operating Income,Literacy Income,Total Operating Expenditures,Total Collection Expenditures,Print Materials Expenditures,Print Serial Subscription Expenditures,Electronic Materials Expenditures,Other Materials Expenditures,Total Print Materials Expenditures,Salary & Wages Expenditures,Employee Benefits Expenditures,Total Staff Expenditures,Total Capital Expenditures,All Other Operating Expenditures,Operating Expenditures on Preservation,Expenditures on Children's Materials,Expenditures on Adult Literacy Programs,Books Children Held,Books Young Adult Held,Government Documents,Children's Audio Materials,# of Physical Audio Materials in Collection,Children's Video Materials,# of Physical Video Materials in Collection,# of Current Serial Subscriptions,Book Titles Added,# of Electronic Books in Collection,# of Electronic Collections in Collection,Total Print Materials Held,# of Downloadable Audio Materials in Collection,# of Downloadable Video Materials in Collection,# of Electronic Collections through Local and Other Funding in Collection,Children's Books Added,Books Added,Library Materials in Electronic Format,Number of Adult Books Held,Total Print Materials Held,Total Collection,Circulation of Childrens Materials,Circulation of Non English Materials,Circulation of Electronic Materials,Total Circulation,ILL loans to others,ILL loans received,Reference Questions,Total # of Programs,# of Children's Programs,# of Young Adult Programs,Young Adult Program Attendance,Children's Program Attendance,Total Program Attendance,# of Pre School Programs,Pre-School Program Attendance,# of School Aged Programs,School Aged Program Attendance,# of Adult Programs,Adult Program Attendance,Beginning Salary for Director,Final Salary for Director,Beginning Salary for Assistant Director,Final Salary for Assistant Director,Beginning Salary for Chief Library Division,Final Salary for Chief Library Division,Beginning Salary for Branch Librarian,Final Salary for Branch Librarian,Beginning Salary for Entry Level Librarian,Final Salary for Entry Level Librarian,Beginning Salary for Journeyman Librarian,Final Salary for Journeyman Librarian,Beginning Salary for Library Tech Assistant,Final Salary for Library Tech Assistant,Beginning Salary for Manager of Special Library Service (non-MLS),Final Salary for Manager of Special Library Service (non-MLS),Beginning Salary for Clerk,Final Salary for Clerk,Library Utilizes CA Teleconnect Fund,Library Utilizes the E-Rate Program,CIPA Compliant,Annual Uses of Public Internet Computers,# of Internet Terminals,Virtual Visits to the library website,Library use RFID,FSCS ID,Fiscal Year
A. K. SMILEY PUBLIC LIBRARY,San Bernardino,Municipal Library,"Municipal Government (city, town or village) (exactly)",Not a Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Non-affiliated,125 W. VINE ST.,REDLANDS,92373,4728,(909) 798-7565,-1,http://www.akspl.org,2,Yes,,37,"69,851","4,051","17,392","21,443","48,408","62,991","19,575",1,0,0,0,1,1,"271,022","3,303",5,33,4,5,20,11,5,3,25,"$2,745,029 ","$1,964,893 ","$52,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$728,136 ","$52,000 ","$2,617,509 ","$240,590 ","$140,915 ","$29,863 ","$49,943 ","$19,869 ","$170,778 ","$1,349,533 ","$579,087 ","$1,928,620 ",$0 ,"$448,299 ","$6,083 ","$41,276 ","$119,699 ","29,227","4,531","37,824",550,"5,614",567,"2,726",365,"6,579","9,855",16,"136,573","5,953",30,16,"2,686","7,427","9,855","102,815","174,397","192,973","121,380",311,"15,786","239,887",0,8,"33,865","1,135",480,2,48,"16,668","22,306",155,"7,977",325,"8,691",173,"5,590","$12,000 ","$12,000 ",,,"$5,469 ","$6,648 ",,,,,"$4,951 ","$6,018 ","$3,383 ","$4,112 ","$8,000 ","$9,724 ","$2,586 ","$3,143 ",No,No,No,"22,920",24,"80,982",Yes,CA0165,16-17
ALAMEDA COUNTY LIBRARY,Alameda,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,Pacific Library Partnership,2450 STEVENSON BLVD.,FREMONT,94538,2326,(510) 745-1504,(510) 745-1400,http://www.aclibrary.org,3,Yes,,572,"580,104","36,690","73,910","110,600","469,504","395,120","66,683",1,9,1,0,10,11,"2,241,187","18,696",22,250,9.5,80,163,137,16.5,74,243,"$29,878,083 ","$25,135,283 ","$127,491 ","$7,206 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$4,608,103 ","$127,491 ","$28,583,101 ","$4,159,919 ","$2,202,031 ","$96,280 ","$1,177,584 ","$684,024 ","$2,298,311 ","$10,913,714 ","$6,334,005 ","$17,247,719 ","$383,247 ","$7,175,463 ",$0 ,"$1,292,904 ","$127,491 ","491,018","49,025",0,"11,006","49,121","35,891","118,387","1,281","16,864","132,470",45,"937,478","15,331",0,45,"71,318","114,823","132,470","397,435","937,478","1,238,782","3,375,922","605,670","330,477","5,682,705","23,249","34,456","282,504","14,095","4,625","1,924","16,167","130,634","183,429","1,632","57,250","2,993","73,384","2,921","36,628","$11,327 ","$15,858 ","$10,175 ","$12,381 ","$8,941 ","$10,849 ","$7,157 ","$8,701 ","$4,854 ","$5,556 ","$5,285 ","$6,365 ","$4,477 ","$5,317 ","$9,667 ","$11,762 ","$3,699 ","$4,162 ",Yes,Yes,No,"324,601",353,"2,594,035",No,CA0001,16-17
ALAMEDA FREE LIBRARY,Alameda,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,1550 OAK ST,ALAMEDA,94501,4411,(510) 747-7747,(510) 747-7713,http://www.alamedaca.gov,3,Yes,,12,"79,928","2,397","4,897","7,294","72,634","68,323","15,806",1,2,0,0,3,3,"391,821","5,772",7,58,4.5,11,20.75,3.25,13,11,31.75,"$4,015,993 ","$3,974,303 ","$41,690 ",$0 ,"$35,975 ",$0 ,$0 ,$0 ,"$35,975 ",$0 ,"$41,303 ","$3,796,869 ","$304,512 ","$203,469 ","$28,620 ","$60,421 ","$12,002 ","$232,089 ","$1,901,275 ","$608,165 ","$2,509,440 ",$0 ,"$982,917 ",$0 ,"$60,000 ","$40,000 ","63,296","6,690",55,"2,084","8,023","2,643","8,836",198,"7,878","5,400",48,"176,200","1,425",0,48,"1,775","5,316","5,400","106,214","176,255","198,760","237,073","8,984","17,360","441,876",182,890,"62,707","1,084",447,65,589,"20,378","23,365",212,"9,874",235,"10,504",125,"2,398","$13,056 ","$15,867 ",,,"$7,992 ","$9,714 ","$4,382 ","$6,168 ","$3,979 ","$5,600 ",$0 ,$0 ,"$3,268 ","$4,598 ","$5,674 ","$6,903 ","$3,078 ","$4,547 ",No,No,No,-1,53,,Yes,CA0002,16-17
ALHAMBRA CIVIC CENTER LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,101 S. FIRST ST.,ALHAMBRA,91801,3488,(626) 570-5008,(626) 570-3212,http://alhambralibrary.org,4,Yes,,8,"86,922",,,,"86,922","104,550","28,910",1,0,0,0,1,1,"661,225","2,880",2,43,1,11,21,15,5,11,32,"$3,222,767 ","$3,101,367 ",$0 ,$0 ,"$173,189 ",$0 ,$0 ,$0 ,"$173,189 ","$121,400 ",,"$3,011,518 ","$169,024 ","$108,460 ","$6,703 ","$53,061 ",$800 ,"$115,163 ","$1,619,857 ","$638,710 ","$2,258,567 ","$4,300 ","$583,927 ",$0 ,"$35,000 ",$0 ,"46,124","6,100",0,"1,316","4,637",813,"5,729",149,"6,882",717,19,"117,552",129,0,19,"3,760","15,471",717,"65,328","117,552","128,803","204,037","16,922","3,155","294,018",120,0,"98,187",954,356,32,544,"12,228","15,628",105,"4,476",251,"7,752",210,"2,856","$8,154 ","$12,583 ","$6,658 ","$8,665 ","$4,773 ","$6,207 ",,,"$4,316 ","$5,625 ",,,"$3,536 ","$4,606 ",,,"$3,016 ","$3,933 ",Yes,Yes,Yes,"97,506",89,"246,333",Yes,CA0003,16-17
ALPINE COUNTY LIBRARY/ARCHIVES,Alpine,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,270 LARAMIE ST.,MARKLEEVILLE,96120,187,(530) 694-2120,(530) 694-2120,http://www.alpinecountyca.gov/Index.aspx?NID=107,4,Yes,,723,"1,151",39,168,207,944,"3,019",534,1,0,1,1,2,3,"21,915","2,934",0.25,5,0,1,0,0,0,1,1,"$334,142 ","$298,677 ","$12,965 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$22,500 ",,"$320,266 ","$16,635 ","$10,000 ","$1,200 ","$3,435 ","$2,000 ","$11,200 ","$124,234 ","$95,536 ","$219,770 ",$0 ,"$83,861 ","$1,530 ","$3,175 ",$0 ,"7,007",838,5,128,"1,085",209,"2,362",94,"1,772","75,875",3,"23,038","2,617",0,3,127,"1,772","75,875","15,193","23,043","102,462","2,303",0,211,"15,117",0,0,445,110,24,0,0,364,"2,231",9,124,15,240,62,"1,867","$5,085 ","$5,291 ",,,,,,,,,,,"$2,879 ","$2,879 ","$3,979 ","$3,979 ","$2,430 ","$2,430 ",No,No,Yes,"1,747",9,"4,338",No,CA0004,16-17
ALTADENA LIBRARY DISTRICT,Los Angeles,Special District Library,Metropolitan Area (most nearly),Member of a Federation or Cooperative,Library District,Southern California Library Cooperative,600 E. MARIPOSA ST.,ALTADENA,91001,2211,(626) 798-0833,(626) 798-0833,http://www.altadenalibrary.org,4,Yes,,9,"53,236",,,,"53,236","15,701","3,865",1,1,0,0,2,2,"188,375","4,926",9,33,4,7,13,2,7,7,20,"$3,250,132 ","$2,978,420 ","$26,300 ","$13,500 ",$0 ,$0 ,"$319,998 ",$0 ,"$319,998 ","$231,912 ","$23,300 ","$3,044,586 ","$241,061 ","$162,404 ","$12,954 ","$23,618 ","$42,085 ","$175,358 ","$1,452,393 ","$617,797 ","$2,070,190 ","$412,767 ","$733,335 ",$0 ,"$35,852 ","$40,000 ","27,468","5,151",0,435,"5,046",685,"4,841",199,"5,713","2,016",2,"79,826",188,0,2,"3,049","6,129","2,016","47,207","79,826","91,930","85,486","1,709","6,012","189,219",399,444,"6,620",650,253,81,998,"5,589","6,586",158,"3,389",95,"2,200",63,-1,"$8,925 ","$10,881 ","$6,271 ","$7,815 ","$4,822 ","$6,003 ","$4,474 ","$5,570 ","$4,162 ","$5,177 ","$3,335 ","$4,152 ","$3,501 ","$4,357 ","$6,890 ","$7,400 ","$2,877 ","$3,580 ",Yes,Yes,Yes,"38,582",66,"173,239",No,CA0005,16-17
AMADOR COUNTY LIBRARY,Amador,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,49-99 Cooperative Library System,530 SUTTER ST.,JACKSON,95642,2379,(209) 223-6400,(209) 223-6400,http://www.amadorgov.org/departments/library,3,Yes,,594,"38,382","1,431","3,536","4,967","33,415","31,627","6,712",1,0,0,4,5,5,"70,229","4,910",2.5,8,0.75,1,5.25,1.5,3,1,6.25,"$778,108 ","$691,950 ","$27,912 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$58,246 ","$27,912 ","$639,191 ","$35,791 ","$16,351 ",$865 ,"$12,575 ","$6,000 ","$17,216 ","$304,250 ","$150,244 ","$454,494 ",$0 ,"$148,906 ",$0 ,"$6,100 ","$72,098 ","20,953","2,220",0,367,"3,650",935,"6,740",42,"1,927","4,398",10,"80,726","3,902",0,10,"3,264","3,258","4,398","57,553","80,726","95,566","18,705",490,"6,690","78,984","2,040","1,960","1,634",370,161,10,70,"3,163","3,586",135,"2,439",26,724,38,353,"$8,055 ","$8,055 ",,,,,,,,,,,"$2,747 ","$3,595 ","$1,725 ","$2,269 ","$1,311 ","$1,634 ",Yes,Yes,Yes,"13,800",22,"51,314",No,CA0006,16-17
ANAHEIM PUBLIC LIBRARY,Orange,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Santiago,500 W. BROADWAY,ANAHEIM,92805,3699,(714) 765-1810,(714) 765-1880,http://anaheim.net/library,4,Yes,,49,"358,546","26,275","51,733","78,008","280,538","230,951","57,301",1,6,1,1,8,9,"981,637","16,023",0.25,170,3.15,24.62,48.26,33.32,11.79,23.62,72.88,"$10,160,469 ","$9,496,384 ","$18,840 ","$185,300 ","$128,879 ",$0 ,$0 ,$0 ,"$128,879 ","$459,945 ","$18,000 ","$9,993,913 ","$825,919 ","$355,772 ","$14,524 ","$370,296 ","$85,327 ","$370,296 ","$4,229,682 ","$2,418,396 ","$6,648,078 ","$317,743 ","$2,519,916 ","$5,741 ","$203,212 ","$18,000 ","234,685","36,401",0,"3,740","10,072","18,376","39,470",495,"16,849","5,498",0,"477,476","1,296",0,0,"17,664","31,459","5,498","206,390","477,476","533,011","658,240","42,613","43,708","1,117,096","5,127",4,"82,921","8,345","3,808",354,"7,009","128,948","143,422",674,"19,950","3,134","108,998",375,"7,465","$9,617 ","$13,824 ",$0 ,$0 ,"$7,535 ","$10,831 ","$6,509 ","$9,357 ","$4,914 ","$6,271 ","$5,674 ","$6,899 ","$4,644 ","$5,644 ",$0 ,$0 ,"$2,903 ","$3,706 ",Yes,Yes,Yes,"144,364",228,"197,608",No,CA0007,16-17
ARCADIA PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,20 W. DUARTE ROAD,ARCADIA,91006,6999,(626) 821-5567,(626) 821-5569,http://www.arcadiaca.gov/library,3,Yes,,12,"57,374",,,,"57,374","39,025",0,1,0,0,0,1,1,"505,646","3,038",5.54,42,2.75,11.5,16,6.75,6.5,11.5,27.5,"$3,670,062 ","$3,614,262 ",$0 ,$0 ,"$325,590 ",$0 ,$0 ,$0 ,"$325,590 ","$55,800 ",,"$3,458,299 ","$302,235 ","$165,928 ","$14,977 ","$92,807 ","$28,523 ","$180,905 ","$1,605,000 ","$902,200 ","$2,507,200 ","$325,590 ","$648,864 ","$14,741 ","$68,407 ",$0 ,"55,295","5,745",351,"1,301","7,019","1,485","6,526",196,"12,192","17,897",16,"179,270","5,708",102,16,"4,983","12,004","17,897","118,230","179,621","211,275","445,987","24,138","20,626","662,381",578,51,"43,485","1,328",233,143,"7,035","14,700","25,977",126,"7,142",107,"7,558",719,"4,242","$9,988 ","$12,474 ","$7,612 ","$9,507 ","$6,544 ","$8,173 ",$0 ,$0 ,"$4,631 ","$5,784 ","$5,241 ","$6,544 ","$3,361 ","$4,866 ","$4,631 ","$5,784 ","$3,046 ","$3,805 ",Yes,Yes,Yes,"45,438",74,"166,468",No,CA0008,16-17
AZUSA CITY LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,729 N. DALTON AVE.,AZUSA,91702,2550,(626) 812-5232,(626) 812-5268,http://www.ci.azusa.ca.us/library,3,Yes,,9,"49,762",,,,"49,762","46,779","6,523",1,0,1,0,1,2,"201,267","2,916",7,26,1,3,15,8,6,3,18,"$1,237,120 ","$1,093,270 ","$20,951 ","$45,461 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$77,438 ","$20,951 ","$1,093,270 ","$58,250 ","$45,000 ","$5,000 ","$8,250 ",$0 ,"$50,000 ","$683,090 ","$299,245 ","$982,335 ",$0 ,"$52,685 ",$0 ,"$22,500 ","$113,977 ","46,723","3,846",20,264,"3,780",987,"3,207",66,,"6,755",4,"101,256","3,387",30,4,"3,010",,"6,755","50,687","101,276","115,088","72,349","8,702","5,422","112,473",174,37,"9,120",611,199,4,68,"9,184","13,430",68,"2,180",131,"7,004",209,"4,178","$12,636 ","$12,636 ","$6,255 ","$7,603 ","$4,781 ","$5,763 ",,,"$4,349 ","$5,328 ",,,"$3,440 ","$4,134 ","$4,349 ","$5,286 ",,,No,Yes,Yes,"34,814",33,"23,256",No,CA0010,16-17
