Location,County,Library Type,Geographic Code,Interlibrary Relationship code,Legal Basis Code,CLSA System Library,Street Address,City,Zip,Zip +4,Public Phone Number - Administration,Reference Phone Number,Library's Web Address,ILL Period # of weeks,ILL Photocopy free up to 10 pages?,Copy Fee,Size Square Mile,Population of The Legal Service Area,Population of Children Ages Under 5,Population of Children Ages 5-14,Population Age 0-14,Population Over 14 Years,Registered Users as of June 30,Children Borrowers,# of Central Libraries,# of Branch Libraries,# of Bookmobiles,# of Stations,Total # of Outlets,Total # of Service Points,Library Visits,"Hours Open, All Outlets",FTE Volunteers,Total persons employed,FTE Special Professionals,# of Librarian FTEs,FTE All other paid staff,FTE Other,FTE Library Technical Assistants,# of ALA MLS Librarian FTEs,Staff FTE,Total Operating Income,Local Government Income,State Income,Federal Income,Capital Outlay Income from Local Sources,Capital Outlay Income from State  Sources,Capital Outlay Income from Federal Sources,Capital Outlay Income from Other Sources,Total Capital Outlay Income,Other Operating Income,Literacy Income,Total Operating Expenditures,Total Collection Expenditures,Print Materials Expenditures,Print Serial Subscription Expenditures,Electronic Materials Expenditures,Other Materials Expenditures,Total Print Materials Expenditures,Salary & Wages Expenditures,Employee Benefits Expenditures,Total Staff Expenditures,Total Capital Expenditures,All Other Operating Expenditures,Operating Expenditures on Preservation,Expenditures on Children's Materials,Expenditures on Adult Literacy Programs,Books Children Held,Books Young Adult Held,Government Documents,Children's Audio Materials,# of Physical Audio Materials in Collection,Children's Video Materials,# of Physical Video Materials in Collection,# of Current Serial Subscriptions,Book Titles Added,# of Electronic Books in Collection,# of Electronic Collections in Collection,# of Electronic Collections through State Funding in Collection,Total Print Materials Held,# of Downloadable Audio Materials in Collection,# of Downloadable Video Materials in Collection,# of Electronic Collections through Local and Other Funding in Collection,Children's Books Added,Books Added,Library Materials in Electronic Format,Number of Adult Books Held,Total Print Materials Held,Total Collection,Physical Item Circulation,Circulation of Childrens Materials,Circulation of Non English Materials,Circulation of Electronic Materials,Successful Retrieval of Electronic Information,Electronic Content Use,Total Circulation,Total Collection Use,ILL loans to others,ILL loans received,Reference Questions,Total # of Programs,# of Children's Programs,# of Young Adult Programs,Young Adult Program Attendance,Children's Program Attendance,Total Program Attendance,# of Pre School Programs,Pre-School Program Attendance,# of School Aged Programs,School Aged Program Attendance,# of Adult Programs,Adult Program Attendance,Beginning Salary for Director,Final Salary for Director,Beginning Salary for Assistant Director,Final Salary for Assistant Director,Beginning Salary for Chief Library Division,Final Salary for Chief Library Division,Beginning Salary for Branch Librarian,Final Salary for Branch Librarian,Beginning Salary for Entry Level Librarian,Final Salary for Entry Level Librarian,Beginning Salary for Journeyman Librarian,Final Salary for Journeyman Librarian,Beginning Salary for Library Tech Assistant,Final Salary for Library Tech Assistant,Beginning Salary for Manager of Special Library Service (non-MLS),Final Salary for Manager of Special Library Service (non-MLS),Beginning Salary for Clerk,Final Salary for Clerk,Library Utilizes CA Teleconnect Fund,Library Utilizes the E-Rate Program,CIPA Compliant,Annual Uses of Public Internet Computers,# of Internet Terminals,Virtual Visits to the library website,Library use RFID,FSCS ID,Fiscal Year
A. K. SMILEY PUBLIC LIBRARY,San Bernardino,Municipal Library,"Municipal Government (city, town or village) (exactly)",Not a Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Non-affiliated,125 W. VINE ST.,REDLANDS,92373,4728,9097987565,-1,http://www.akspl.org,2,Yes,,37,"71,196","4,990","18,244","23,234","47,962","58,067","18,686",1,0,0,0,1,1,"267,565","3,303",5,33,4,5,20,11,5,3,25,"$2,746,687 ","$2,000,742 ","$52,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$693,945 ","$52,000 ","$2,604,331 ","$242,276 ","$118,139 ","$28,048 ","$74,072 ","$22,017 ","$146,187 ","$1,360,596 ","$597,098 ","$1,957,694 ",$0 ,"$404,361 ","$6,312 ","$36,507 ","$117,491 ","28,932","3,956","37,824",561,"5,672",560,"2,802",317,"6,223","17,931",21,0,"135,739","8,054",268,21,"2,425","7,005","17,931","102,851","173,563","200,306","217,420","116,949",294,"15,909","26,186","42,095","233,329","259,515",0,47,"36,217",696,463,5,125,"15,857","23,818",154,"7,252",309,"8,605",228,"7,836","$12,000 ","$12,000 ",,,"$5,469 ","$6,648 ",,,,,"$4,951 ","$6,018 ","$3,383 ","$4,112 ","$8,000 ","$9,724 ","$2,586 ","$3,143 ",No,No,No,"19,809",24,"294,237",Yes,CA0165,17-18
ALAMEDA COUNTY LIBRARY,Alameda,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,Pacific Library Partnership,2450 STEVENSON BLVD.,FREMONT,94538,2326,5107451504,(510) 745-1400,http://www.aclibrary.org,3,Yes,,572,"587,086","37,593","73,279","110,872","476,214","425,332","67,505",1,9,1,0,11,11,"2,125,240","18,696",22,249,14,76,167,145.5,7.5,23,243,"$32,357,562 ","$27,524,586 ","$160,087 ","$14,819 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$4,658,070 ","$140,579 ","$29,270,683 ","$3,540,151 ","$1,863,504 ","$80,930 ","$1,108,057 ","$487,660 ","$1,944,434 ","$11,109,493 ","$6,809,598 ","$17,919,091 ","$1,058,546 ","$7,811,441 ",$0 ,"$838,317 ","$160,087 ","496,284","50,027",0,"10,503","50,928","34,492","115,045","1,310","12,861","160,554",41,0,"950,558","16,965",0,41,"51,578","113,815","160,554","404,247","950,558","1,278,436","5,153,817","3,335,833","601,706","459,306","226,258","685,564","5,613,123","5,839,381","27,331","29,691","266,300","9,852","4,760","1,788","13,448","142,435","197,544","1,778","60,931","2,982","81,504","3,304","41,661","$11,780 ","$16,493 ","$10,582 ","$12,877 ","$9,298 ","$11,282 ","$7,443 ","$9,050 ","$5,025 ","$5,751 ","$5,470 ","$6,588 ","$4,633 ","$5,504 ","$10,053 ","$12,232 ","$3,829 ","$4,308 ",Yes,Yes,No,"170,994",353,"2,286,418",No,CA0001,17-18
ALAMEDA FREE LIBRARY,Alameda,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,1550 OAK ST,ALAMEDA,94501,4411,5107477747,(510) 747-7713,http://www.alamedaca.gov,3,Yes,,12,"78,863","4,671","11,876","16,547","62,316","55,834","15,481",1,2,0,0,3,3,"423,888","5,772",7,61,4.5,11,20.75,3.25,13,11,31.75,"$4,639,138 ","$4,591,965 ","$37,173 ",$0 ,"$48,771 ",$0 ,$0 ,$0 ,"$48,771 ","$10,000 ","$37,173 ","$3,789,568 ","$329,363 ","$230,000 ","$13,000 ","$86,363 ",$0 ,"$243,000 ","$1,963,783 ","$590,567 ","$2,554,350 ",$0 ,"$905,855 ",$0 ,"$87,000 ","$37,396 ","60,030","7,133",52,"1,877","4,851","2,708","8,399",210,"6,386","8,244",35,0,"217,817","8,808",0,35,"3,054","7,706","8,244","150,654","217,869","239,608","409,324","211,368","6,069","23,831",,"23,831","433,155","433,155",144,838,"55,495",647,435,92,"1,133","16,469","20,272",219,"8,280",216,"8,189",120,"2,670","$13,448 ","$16,346 ",,,"$8,232 ","$10,006 ","$4,584 ","$6,452 ","$4,163 ","$5,858 ",,,"$3,419 ","$4,810 ","$5,850 ","$7,110 ","$3,126 ","$4,618 ",No,No,Yes,"46,808",53,"568,409",Yes,CA0002,17-18
ALHAMBRA CIVIC CENTER LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,101 S. FIRST ST.,ALHAMBRA,91801,3488,6265705008,(626) 570-3212,http://alhambralibrary.org,4,Yes,,8,"86,665",,,,"86,665","110,283","29,483",1,0,0,0,1,1,"522,712","2,880",2,43,1,11,21,15,5,11,32,"$3,261,119 ","$3,226,119 ",$0 ,"$1,000 ","$185,128 ",$0 ,$0 ,$0 ,"$185,128 ","$34,000 ",$0 ,"$3,226,119 ","$207,178 ","$116,025 ","$8,553 ","$82,600 ",$0 ,"$124,578 ","$1,683,360 ","$671,518 ","$2,354,878 ","$11,447 ","$664,063 ",$0 ,"$36,780 ",$0 ,"48,093","6,387",0,"1,153","4,454",914,"5,404",129,"7,183",941,19,0,"126,558",173,0,19,"5,238","21,151",941,"72,078","126,558","137,505","272,389","192,275","15,605","4,296","2,834","7,130","276,685","279,519",88,0,"92,529",638,377,34,652,"12,318","15,614",99,"3,666",278,"8,652",227,"2,644","$10,253 ","$13,348 ","$7,061 ","$9,192 ","$5,113 ","$6,655 ",,,"$4,627 ","$6,024 ",,,"$3,788 ","$4,931 ",,,"$3,230 ","$4,205 ",Yes,Yes,Yes,"85,858",89,"282,807",Yes,CA0003,17-18
ALPINE COUNTY LIBRARY/ARCHIVES,Alpine,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,270 LARAMIE ST.,MARKLEEVILLE,96120,187,5306942120,(530) 694-2120,http://www.alpinecountyca.gov/Index.aspx?NID=107,4,Yes,,723,"1,154",,,,"1,154","3,163",552,1,0,1,1,2,3,"25,767","2,794",0.06,4,0,1,1.99,1.99,0,1,2.99,"$388,454 ","$334,084 ","$13,370 ","$15,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$26,000 ",$0 ,"$357,278 ","$23,194 ","$13,500 ","$1,317 ","$3,877 ","$4,500 ","$14,817 ","$140,363 ","$93,229 ","$233,592 ",$0 ,"$100,492 ","$1,200 ","$3,500 ","$1,000 ","7,195",864,15,141,"1,230",412,"2,657",68,"1,061","85,467",3,0,"21,220","6,042",0,3,299,"1,061","85,467","13,161","21,235","110,660","14,439","2,998",0,409,,409,"14,848","14,848",0,0,595,121,52,0,0,318,"2,074",22,148,30,170,69,"1,756","$5,291 ","$5,423 ",,,,,,,,,,,"$2,879 ","$3,023 ","$3,979 ","$3,979 ","$2,430 ","$2,546 ",No,No,Yes,"2,381",9,"1,697",No,CA0004,17-18
ALTADENA LIBRARY DISTRICT,Los Angeles,Special District Library,Metropolitan Area (most nearly),Member of a Federation or Cooperative,Library District,Southern California Library Cooperative,600 E. MARIPOSA ST.,ALTADENA,91001,2211,6267980833,(626) 798-0833,http://www.altadenalibrary.org,4,Yes,,9,"53,445",,,,"53,445","19,055","3,743",1,1,0,0,2,2,"180,718","5,096",0,33,13,7,17,3,1,6,24,"$3,586,130 ","$3,380,272 ","$40,930 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$164,928 ","$22,649 ","$2,769,941 ","$193,052 ","$104,757 ","$15,794 ","$30,328 ","$42,173 ","$120,551 ","$1,315,578 ","$207,289 ","$1,522,867 ",$0 ,"$1,054,022 ",$0 ,"$40,500 ","$1,857 ","24,470","4,285",0,568,"5,749",929,"5,988",144,,807,8,0,"69,951",169,0,8,"3,088",,807,"41,196","69,951","82,647","191,321",,,,,,"191,321","191,321",362,188,"2,358",784,366,133,"1,085","8,233","18,518",-1,-1,367,"8,234",285,"9,200","$9,282 ","$11,316 ","$6,522 ","$8,127 ","$5,015 ","$6,243 ","$4,653 ","$5,793 ","$4,328 ","$5,384 ",,,"$3,640 ","$4,531 ","$7,165 ","$7,695 ","$2,992 ","$3,723 ",Yes,Yes,Yes,"32,522",66,,No,CA0005,17-18
AMADOR COUNTY LIBRARY,Amador,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,49-99 Cooperative Library System,530 SUTTER ST.,JACKSON,95642,2379,2092236400,(209) 223-6400,http://www.amadorgov.org/departments/library,3,Yes,,594,"38,094","1,392","3,236","4,628","33,466","33,606","6,800",1,0,0,4,1,5,"67,072","4,530",3,8,0.75,1,5.25,1.5,3,1,6.25,"$825,775 ","$772,358 ","$30,755 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$22,662 ","$30,755 ","$656,066 ","$41,867 ","$21,018 ",$879 ,"$12,470 ","$7,500 ","$21,897 ","$316,324 ","$156,631 ","$472,955 ",$0 ,"$141,244 ",$0 ,"$7,792 ","$74,347 ","21,541","2,245",0,453,"3,592",982,"6,894",40,"2,462","76,883",11,0,"83,391","4,074",0,11,"3,277","3,227","76,883","59,605","83,391","170,811","70,962","17,935","1,500","7,488",,"7,488","78,450","78,450","3,250","3,529","1,689",193,155,9,75,"3,078","3,510",140,"2,433",15,645,29,357,"$8,251 ","$8,892 ",,,,,,,,,,,"$2,801 ","$3,667 ","$2,198 ","$2,878 ","$1,274 ","$1,667 ",Yes,Yes,Yes,"15,240",22,"53,675",No,CA0006,17-18
ANAHEIM PUBLIC LIBRARY,Orange,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Santiago,500 W. BROADWAY,ANAHEIM,92805,3699,7147651810,(714) 765-1880,http://anaheim.net/library,4,Yes,,49,"357,084","25,151","49,010","74,161","282,923","233,312","59,820",1,6,1,1,8,9,"976,914","16,912",0.25,154,2.98,21.88,59.19,43.97,12.24,20.88,81.07,"$11,477,076 ","$10,908,393 ","$50,853 ","$85,300 ","$173,256 ",$0 ,"$78,000 ","$780,000 ","$1,031,256 ","$432,530 ","$18,000 ","$9,997,235 ","$593,369 ","$410,819 ","$15,671 ","$113,117 ","$53,762 ","$426,490 ","$4,148,442 ","$2,545,848 ","$6,694,290 ","$84,672 ","$2,709,576 ","$5,780 ","$211,990 ","$18,000 ","235,174","36,639",0,"3,569","8,961","17,984","39,809",467,"16,256","5,775",0,0,"471,303","1,426",0,0,"17,702","31,936","5,775","199,490","471,303","526,315","980,285","591,722","40,206","49,816","31,373","81,189","1,030,101","1,061,474","6,530",7,"76,172","4,778","3,894",504,"9,258","130,383","145,194",740,"21,487","3,154","108,896",380,"5,553","$9,617 ","$13,824 ",$0 ,$0 ,"$7,535 ","$10,831 ","$6,509 ","$9,357 ","$4,914 ","$6,271 ","$5,674 ","$6,899 ","$4,644 ","$5,644 ",$0 ,$0 ,"$2,903 ","$3,706 ",Yes,No,Yes,"151,709",230,"190,571",No,CA0007,17-18
ARCADIA PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,20 W. DUARTE ROAD,ARCADIA,91006,6999,6268215567,(626) 821-5569,http://www.arcadiaca.gov/library,3,Yes,,12,"57,704","2,473","7,259","9,732","47,972","35,282","4,449",1,0,0,0,1,1,"492,956","3,033",4.53,42,2.75,11.5,16,6.75,6.5,11.5,27.5,"$3,076,047 ","$2,984,648 ","$10,000 ","$9,167 ","$264,935 ",$0 ,$0 ,$0 ,"$264,935 ","$72,232 ",$0 ,"$3,076,047 ","$271,788 ","$161,932 ","$13,820 ","$74,316 ","$21,720 ","$175,752 ","$1,668,890 ","$667,345 ","$2,336,235 ","$264,935 ","$468,024 ","$8,280 ","$57,500 ",$0 ,"64,816","6,858",338,"1,348","6,408","1,409","6,816",198,"9,229","15,955",15,0,"184,750","6,175",102,15,"4,594","10,950","15,955","113,076","185,088","214,480","830,720","309,323","23,753","38,752","23,480","62,232","869,472","892,952",726,51,"46,171",486,237,130,"6,932","14,127","23,843",134,"6,758",103,"7,369",119,"2,784","$10,443 ","$13,042 ","$7,958 ","$9,940 ","$6,842 ","$8,545 ",,,"$4,842 ","$6,048 ","$5,479 ","$6,842 ","$3,184 ","$3,978 ","$4,610 ","$5,756 ",,,Yes,Yes,No,"40,204",74,"135,918",No,CA0008,17-18
AZUSA CITY LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,729 N. DALTON AVE.,AZUSA,91702,2550,6268125232,(626) 812-5268,http://www.azusaca.gov/library,3,No,0.15,9,"49,954",,,,"49,954","50,581","9,391",1,0,1,0,2,2,"192,527","2,916",9,26,1,3,15,8,6,3,18,"$1,294,925 ","$1,220,440 ","$18,985 ","$15,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$40,000 ","$18,985 ","$1,204,830 ","$69,432 ","$47,500 ","$5,000 ","$16,932 ",$0 ,"$52,500 ","$755,885 ","$319,515 ","$1,075,400 ",$0 ,"$59,998 ",$0 ,"$22,500 ","$70,359 ","45,669","3,605",21,241,"3,144",894,"3,146",67,,"17,076",5,0,"98,049","4,508",47,5,"3,243",,"17,076","48,775","98,070","121,508","96,548","65,182","7,792","4,913",,"4,913","101,461","101,461",193,78,"11,517",376,176,2,47,"8,089","12,112",48,"1,905",128,"6,184",198,"3,976","$13,267 ","$13,267 ","$6,318 ","$7,679 ","$4,828 ","$5,820 ",,,"$4,392 ","$5,291 ",,,"$3,475 ","$4,175 ","$4,392 ","$5,339 ",,,Yes,Yes,Yes,"36,417",38,"25,722",No,CA0010,17-18
