Location,County,Library Type,Geographic Code,Interlibrary Relationship code,Legal Basis Code,CLSA System Library,Street Address,City,Zip,Zip +4,Public Phone Number - Administration,Reference Phone Number,Library's Web Address,Size Square Mile,Population of The Legal Service Area,Registered Users as of June 30,Children Borrowers,# of Central Libraries,# of Branch Libraries,# of Bookmobiles,Total # of Outlets,Total Square Footage,Local Government Income,State Income,Federal Income,Other Operating Income,Total Operating Income,Literacy Income,Capital Outlay Income from Local Sources,Capital Outlay Income from State  Sources,Capital Outlay Income from Federal Sources,Capital Outlay Income from Other Sources,Total Capital Outlay Income,Salary & Wages Expenditures,Employee Benefits Expenditures,Total Staff Expenditures,Print Materials Expenditures,Print Serial Subscription Expenditures,Total Print Materials Expenditures,Electronic Materials Expenditures,Other Materials Expenditures,Total Collection Expenditures,All Other Operating Expenditures,Total Operating Expenditures,Total Capital Expenditures,Total persons employed,# of ALA MLS Librarian FTEs,# of Librarian FTEs,FTE All other paid staff,Staff FTE,FTE Volunteers,Books Children Held,Books Young Adult Held,Total Print Materials Held,# of Electronic Books in Collection,# of Physical Audio Materials in Collection,# of Downloadable Audio Materials in Collection,# of Physical Video Materials in Collection,# of Downloadable Video Materials in Collection,# of Electronic Collections through Local and Other Funding in Collection,# of Electronic Collections through State Funding in Collection,# of Electronic Collections in Collection,# of Current Serial Subscriptions,"Hours Open, All Outlets",Library Visits,Reference Questions,Physical Item Circulation,Circulation of Childrens Materials,Circulation of Non English Materials,Circulation of Electronic Materials,Successful Retrieval of Electronic Information,Electronic Content Use,Total Circulation,Total Collection Use,ILL loans to others,ILL loans received,# of Children's Programs,Children's Program Attendance,# of Young Adult Programs,Young Adult Program Attendance,# of Adult Programs,Adult Program Attendance,"Of the above programs, how many were offsite?",Attendance at offsite programs,Total # of Programs,Total Program Attendance,CIPA Compliant,Annual Uses of Public Internet Computers,Virtual Visits to the library website,Wireless Sessions Per Year,# of Internet Terminals,Vulnerable populations,Personal economic development,Crisis support,Personal learning and knowledge development,Social capital,FSCS ID,Fiscal Year
A. K. SMILEY PUBLIC LIBRARY,San Bernardino,Municipal Library,"Municipal Government (city, town or village) (exactly)",Not a Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Non-affiliated,125 W. VINE ST.,REDLANDS,92373,4728,9097987565,-1,http://www.akspl.org,37,"71,839","54,738","17,736",1,0,0,1,"64,636","$2,173,921 ","$52,520 ",$0 ,"$702,046 ","$2,928,487 ","$52,520 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,373,724 ","$761,802 ","$2,135,526 ","$108,399 ","$24,443 ","$132,842 ","$72,433 ","$16,898 ","$222,173 ","$441,967 ","$2,799,666 ",$0 ,33,3,5,20,25,4.5,"29,245","4,025","173,607","18,661","5,910","8,939","2,841",268,20,2,22,285,"3,303","298,696","39,951","235,266","129,919",296,"21,553","16,940","38,493","256,819","273,759",0,25,420,"21,228",2,135,256,"7,219",172,"2,666",678,"28,582",No,"18,920","301,170","33,096",24,Yes,Yes,No,Yes,Yes,CA0165,18-19
ALAMEDA COUNTY LIBRARY,Alameda,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,Pacific Library Partnership,2450 STEVENSON BLVD.,FREMONT,94538,2326,5107451504,(510) 745-1400,http://www.aclibrary.org,572,"589,666","425,068","68,011",1,9,1,11,"208,743","$28,712,652 ","$162,767 ","$7,619 ","$4,973,536 ","$33,856,574 ","$162,767 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$12,608,518 ","$6,813,556 ","$19,422,074 ","$2,046,952 ","$78,673 ","$2,125,625 ","$1,120,915 ","$347,555 ","$3,594,095 ","$7,110,896 ","$30,127,065 ","$76,474 ",276,21,74,169,243,22,"504,407","50,729","959,000","178,877","49,987","20,196","118,937","33,591",106,3,109,"1,117","19,060","2,180,869","257,174","4,919,849","3,226,971","571,220","495,537","515,218","1,010,755","5,415,386","5,930,604","20,520","34,597","4,806","144,903","1,085","19,781","3,634","30,579",708,"16,871","9,525","195,263",No,"249,872","2,622,379","280,449",353,Yes,Yes,Yes,Yes,Yes,CA0001,18-19
ALAMEDA FREE LIBRARY,Alameda,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,1550 OAK ST,ALAMEDA,94501,4411,5107477747,(510) 747-7713,http://www.alamedaca.gov,12,"79,316","58,426","14,733",1,2,0,3,"54,200","$4,988,507 ","$36,058 ",$0 ,$0 ,"$5,024,565 ","$36,058 ","$57,155 ",$0 ,$0 ,$0 ,"$57,155 ","$2,038,050 ","$656,763 ","$2,694,813 ","$237,605 ","$11,225 ","$248,830 ","$94,520 ",$0 ,"$343,350 ","$1,880,839 ","$4,919,002 ",$0 ,60,11,11,18,29,7.5,"57,430","6,941","221,777","9,914","7,799","8,566","8,267","2,967",17,2,19,200,"5,772","435,607","50,240","402,662","233,415","3,930","21,088",,"21,088","423,750","423,750",176,900,405,"17,087",78,"1,221",110,"2,551",10,346,593,"20,859",Yes,"45,875","715,921","41,732",53,Yes,Yes,Yes,Yes,Yes,CA0002,18-19
ALHAMBRA CIVIC CENTER LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,101 S. FIRST ST.,ALHAMBRA,91801,3488,6265705008,(626) 570-3212,http://alhambralibrary.org,8,"86,931","78,473","11,239",1,0,0,1,"45,000","$3,243,995 ",$0 ,$0 ,$0 ,"$3,243,995 ",$0 ,"$215,835 ",$0 ,$0 ,$0 ,"$215,835 ","$1,714,149 ","$653,602 ","$2,367,751 ","$101,147 ","$7,853 ","$109,000 ","$78,700 ",$0 ,"$187,700 ","$674,709 ","$3,230,160 ","$14,300 ",37,11.5,11.5,20.4,31.9,3,"48,216","5,511","113,090","1,472","3,578",206,"4,297",0,32,2,34,89,"2,880","591,053","97,753","262,698","192,754","13,187","9,144","5,857","15,001","271,842","277,699",84,5,338,"12,132",28,412,211,"2,679",6,480,577,"15,223",Yes,"72,731","289,421","144,021",89,Yes,Yes,No,Yes,Yes,CA0003,18-19
ALPINE COUNTY LIBRARY/ARCHIVES,Alpine,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,270 LARAMIE ST.,MARKLEEVILLE,96120,187,5306942120,(530) 694-2120,http://www.alpinecountyca.gov/Index.aspx?NID=107,723,"1,162","3,269",500,1,1,1,3,"3,447","$328,549 ","$13,597 ",$0 ,"$26,300 ","$368,446 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$145,648 ","$77,376 ","$223,024 ","$12,300 ","$1,357 ","$13,657 ","$4,300 ","$5,900 ","$23,857 ","$103,539 ","$350,420 ",$0 ,4,1,1,1.99,2.99,0,"7,853",884,"22,190","101,193","1,382","11,043","2,636",45,3,1,4,65,"2,796","25,436",777,"17,081","3,718",0,757,652,"1,409","17,838","18,490",0,0,62,251,64,368,72,"2,434",15,157,198,"3,053",Yes,"1,536","2,089","8,709",8,Yes,Yes,Yes,Yes,Yes,CA0004,18-19
ALTADENA LIBRARY DISTRICT,Los Angeles,Special District Library,Metropolitan Area (most nearly),Member of a Federation or Cooperative,Library District,Southern California Library Cooperative,600 E. MARIPOSA ST.,ALTADENA,91001,2211,6267980833,(626) 798-0833,http://www.altadenalibrary.org,9,"52,924","21,795","2,867",1,1,0,2,"27,750","$3,513,798 ","$18,000 ",$0 ,"$254,672 ","$3,786,470 ","$18,000 ","$51,996 ",$0 ,$0 ,$0 ,"$51,996 ","$1,854,775 ","$500,111 ","$2,354,886 ","$129,601 ","$12,358 ","$141,959 ","$62,090 ","$57,106 ","$261,155 ","$1,085,472 ","$3,701,513 ","$118,416 ",35,5,5,24,29,2.76,"25,059","5,563","64,618","2,970","5,444",747,"6,275",0,7,0,7,220,"5,096","183,646","3,231","218,494","91,980","2,986","10,174","1,049","11,223","228,668","229,717","1,695",165,427,"8,250",99,686,142,"3,614",44,"1,378",668,"12,550",Yes,"117,311","125,555","84,012",115,Yes,Yes,No,Yes,Yes,CA0005,18-19
AMADOR COUNTY LIBRARY,Amador,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,49-99 Cooperative Library System,530 SUTTER ST.,JACKSON,95642,2379,2092236400,(209) 223-6400,http://www.amadorgov.org/departments/library,594,"38,294","32,849","6,972",1,4,0,5,"11,750","$783,284 ","$31,063 ",$0 ,"$31,217 ","$845,564 ","$31,063 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$342,346 ","$168,976 ","$511,322 ","$23,420 ",$860 ,"$24,280 ","$13,305 ","$6,380 ","$43,965 ","$151,492 ","$706,779 ",$0 ,9,1,1,6.75,7.75,2.5,"20,088","2,117","89,294","82,283","3,361","6,038","6,695",0,12,2,14,38,"4,870","66,703","1,943","59,993","17,577","1,465","7,884",,"7,884","67,877","67,877","3,750","5,756",164,"2,020",8,105,38,532,4,435,210,"2,657",Yes,"18,114","50,436",,22,Yes,Yes,Don't know,Yes,Yes,CA0006,18-19
ANAHEIM PUBLIC LIBRARY,Orange,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Santiago,500 W. BROADWAY,ANAHEIM,92805,3699,7147651810,(714) 765-1880,http://anaheim.net/library,49,"359,339","245,441","71,934",1,7,1,9,"149,799","$10,937,968 ","$52,429 ","$185,300 ","$641,057 ","$11,816,754 ","$18,000 ","$22,391 ",$0 ,"$209,649 ",$0 ,"$232,040 ","$4,259,269 ","$2,663,101 ","$6,922,370 ","$411,853 ","$13,622 ","$425,475 ","$157,883 ","$48,507 ","$631,865 ","$3,266,519 ","$10,820,754 ","$312,333 ",152,19.18,20.18,60.85,81.03,0.25,"232,758","33,950","467,609","7,085","8,178","1,744","17,108",0,20,4,24,445,"16,965","926,581","67,075","937,100","592,069","48,838","69,176","32,570","101,746","1,006,276","1,038,846",0,0,"3,617","129,052",477,"6,073",355,"6,379",,,"4,449","141,504",Yes,"136,671","187,232",,234,No,Yes,No,Yes,Yes,CA0007,18-19
ARCADIA PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,20 W. DUARTE ROAD,ARCADIA,91006,6999,6268215567,(626) 821-5569,http://www.arcadiaca.gov/library,12,"58,891","22,445","3,601",1,0,0,1,"48,000","$3,676,177 ","$10,000 ","$13,923 ","$73,481 ","$3,773,581 ",$0 ,"$770,000 ",$0 ,$0 ,$0 ,"$770,000 ","$1,544,000 ","$1,132,277 ","$2,676,277 ","$171,454 ","$13,101 ","$184,555 ","$79,912 ","$21,691 ","$286,158 ","$713,742 ","$3,676,177 ","$770,000 ",42,11.5,11.5,16,27.5,4.47,"55,674","3,428","177,369","23,100","7,098","17,845","6,839",66,24,4,28,187,"3,033","507,790","53,734","641,637","452,546","23,442","53,570","48,350","101,920","695,207","743,557",536,37,282,"15,282",124,"4,935",150,"4,433",22,68,556,"24,650",No,"41,695","106,712","58,534",76,Yes,Yes,Yes,Yes,Yes,CA0008,18-19
AZUSA CITY LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,729 N. DALTON AVE.,AZUSA,91702,2550,6268125232,(626) 812-5268,http://www.azusaca.gov/library,9,"51,313","52,490","9,168",1,0,1,2,"18,497","$1,231,075 ","$43,985 ","$15,700 ","$42,500 ","$1,333,260 ","$43,795 ","$329,733 ",$0 ,"$227,777 ",$0 ,"$557,510 ","$796,615 ","$296,960 ","$1,093,575 ","$47,500 ","$5,000 ","$52,500 ","$17,000 ",$0 ,"$69,500 ","$74,950 ","$1,238,025 ","$557,510 ",26,3,3,15,18,11,"46,276","3,428","97,524","20,271","3,042","8,417","2,974",268,6,1,7,67,"2,916","195,314","12,628","91,692","63,030","7,316","4,278",,"4,278","95,970","95,970",164,86,262,"10,042",4,85,219,"3,843",326,739,485,"13,970",Yes,"37,621",,,42,Yes,Yes,No,Yes,Yes,CA0010,18-19
