Location,County,Library Type,Geographic Code,Interlibrary Relationship code,Legal Basis Code,CLSA System Library,Street Address,City,Zip,Zip +4,Public Phone Number - Administration,Reference Phone Number,Library's Web Address,Size Square Mile,Closed Outlets Due to COVIDunavailable9,Public Services During COVIDunavailable9,Electronic Materials Added Due to COVIDunavailable9,Electronic Library Cards Issued Before COVIDunavailable9,Electronic Library Cards Issued During COVIDunavailable9,Reference Service During COVIDunavailable9,Outside Service During COVIDunavailable9,Live Virtual Programs During COVIDunavailable9,Recordings of Program Content During COVIDunavailable9,External WiFi Access Before COVIDunavailable9,External WiFi Access Added During COVIDunavailable9,External WiFi Access Increased During COVIDunavailable9,Staff Re-Assigned During COVIDunavailable9,Population of The Legal Service Area,Registered Users as of June 30,Children Borrowers,# of Central Libraries,# of Branch Libraries,# of Bookmobiles,Total # of Outlets,Total Square Footage,Local Government Income,State Income,Federal Income,Other Operating Income,Total Operating Income,Capital Outlay Income from Local Sources,Capital Outlay Income from State  Sources,Capital Outlay Income from Federal Sources,Capital Outlay Income from Other Sources,Total Capital Outlay Income,Salary & Wages Expenditures,Employee Benefits Expenditures,Total Staff Expenditures,Print Materials Expenditures,Print Serial Subscription Expenditures,Total Print Materials Expenditures,Electronic Materials Expenditures,Other Materials Expenditures,Total Collection Expenditures,All Other Operating Expenditures,Total Operating Expenditures,Total Capital Expenditures,Total persons employed,# of ALA MLS Librarian FTEs,# of Librarian FTEs,FTE All other paid staff,Staff FTE,FTE Volunteers,Books Children Held,Books Young Adult Held,Total Print Materials Held,# of Electronic Books in Collection,# of Physical Audio Materials in Collection,# of Downloadable Audio Materials in Collection,# of Physical Video Materials in Collection,# of Downloadable Video Materials in Collection,# of Electronic Collections through Local and Other Funding in Collection,# of Electronic Collections through State Funding in Collection,# of Electronic Collections in Collection,# of Current Serial Subscriptions,"Hours Open, All Outlets",Library Visits,Library visits reporting method,Reference Questions,Reference transactions reporting method,Physical Item Circulation,Circulation of Childrens Materials,Circulation of Non English Materials,Circulation of Electronic Materials,Successful Retrieval of Electronic Information,Electronic Content Use,Total Circulation,Total Collection Use,ILL loans to others,ILL loans received,# of Children's Programs (calculated),"# of Children's Programs - Live, In-person","# of Children's Programs - Live, Virtual",Children's Program Attendance,"Children's Program Attendance - Live, In-person","Children's Program Attendance - Live, Virtual",# of Young Adult Programs (calculated),"# of Young Adult Programs - Live, In-person","# of Young Adult Programs - Live, Virtual",Young Adult Program Attendance (calculated),"Young Adult Program Attendance - Live, In-person","Young Adult Program Attendance - Live, Virtual",# of Adult Programs (calculated),"# of Adult Programs - Live, In-person","# of Adult Programs - Live, Virtual",Adult Program Attendance (calculated),"Adult Program Attendance - Live, In-person","Adult Program Attendance - Live, Virtual","Of the above programs, how many were offsite?",Attendance at offsite programs,Total # of Programs,Total Program Attendance,# recordings of program content,# views of recorded program content,# on-demand views of recorded live programs,CIPA Compliant,Annual Uses of Public Internet Computers,Virtual Visits to the library website,Wireless Sessions Per Year,# of Internet Terminals,FSCS ID,Fiscal Year
A. K. SMILEY PUBLIC LIBRARY,San Bernardino,Municipal Library,"Municipal Government (city, town or village) (exactly)",Not a Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Non-affiliated,125 W. VINE ST.,REDLANDS,92373,4728,(909) 798-7565,-1,http://www.akspl.org,37,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,"70,952","49,058","14,872",1,0,0,1,"64,636","$2,384,544 ","$74,096 ",$0 ,"$732,246 ","$3,190,886 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,432,037 ","$912,562 ","$2,344,599 ","$147,888 ","$29,033 ","$176,921 ","$98,165 ","$23,550 ","$298,636 ","$383,989 ","$3,027,224 ","$118,274 ",31,2,2,23.5,25.5,3.4,"28,984","4,059","173,552","23,719","6,136","10,191","2,766","24,442",22,2,24,278,"2,072","197,107",Annual Count,"31,280",Annual Count,"188,874","98,299",241,"26,811","28,711","55,522","215,685","244,396",0,14,281,253,28,"19,546","8,627","10,919",3,3,0,29,29,0,92,83,9,"5,435","4,840",595,22,"2,875",376,"25,010",45,"4,241","11,278",No,"11,612","321,821","21,004",23,CA0165,19-20
ALAMEDA COUNTY LIBRARY,Alameda,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,Pacific Library Partnership,2450 STEVENSON BLVD.,FREMONT,94538,2326,(510) 745-1504,(510) 745-1400,http://www.aclibrary.org,572,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"613,679","340,736","29,409",0,10,1,11,"208,743","$30,400,007 ","$192,328 ","$6,605 ","$4,635,792 ","$35,234,732 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$14,491,128 ","$6,815,553 ","$21,306,681 ","$1,887,004 ","$73,913 ","$1,960,917 ","$1,685,644 ","$292,150 ","$3,938,711 ","$8,933,824 ","$34,179,216 ","$6,496 ",286,18,74,169,243,0,"518,671","49,949","961,570","198,523","44,680","23,293","113,523","52,049",103,2,105,"1,212",unavailable,"1,446,742",Annual Count,"185,096",Annual Estimate Based on Typical Week(s),"3,137,605","2,010,241","280,439","723,727","509,532","1,233,259","3,861,332","4,370,864","11,328","40,713","5,052","5,026",26,"91,681","91,527",154,827,802,25,"14,543","14,409",134,"3,352","3,334",18,"15,959","15,831",128,313,"8,904","9,231","122,183",1,259,0,No,"124,388","2,535,417","248,835",353,CA0001,19-20
ALAMEDA FREE LIBRARY,Alameda,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,1550 OAK ST,ALAMEDA,94501,4411,(510) 747-7747,(510) 747-7713,http://www.alamedaca.gov,12,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,"81,312","80,697","14,974",1,2,0,3,"54,200","$4,873,081 ","$24,250 ",$0 ,$0 ,"$4,897,331 ","$40,787 ",$0 ,$0 ,$0 ,"$40,787 ","$2,072,068 ","$774,814 ","$2,846,882 ","$235,000 ","$13,200 ","$248,200 ","$155,000 ",$0 ,"$403,200 ","$1,469,090 ","$4,719,172 ",$0 ,59,11,11,18,29,1.83,"59,025","7,395","220,095","11,196","7,808","8,656","8,434","2,470",58,3,61,221,"4,572","244,428",Annual Count,"36,608",Annual Count,"387,797","231,110","8,083","39,760",unavailable,unavailable,"427,557",unavailable,111,378,444,313,131,"18,085","8,714","9,371",92,92,0,957,957,0,88,83,5,"1,608","1,390",218,3,149,624,"20,650",354,"9,589",unavailable,Yes,"32,037","626,815","29,409",53,CA0002,19-20
ALHAMBRA CIVIC CENTER LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,101 S. FIRST ST.,ALHAMBRA,91801,3488,(626) 570-5008,(626) 570-3212,http://alhambralibrary.org,8,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,"86,792","81,468","10,699",1,0,0,1,"45,000","$3,243,995 ",$0 ,$0 ,$0 ,"$3,243,995 ","$216,117 ",$0 ,$0 ,$0 ,"$216,117 ","$1,814,243 ","$638,263 ","$2,452,506 ","$108,670 ","$7,338 ","$116,008 ","$72,265 ",$0 ,"$188,273 ","$659,035 ","$3,299,814 ","$55,000 ",37,11.5,11.5,20.4,31.9,3,"48,829","2,062","105,785","6,594","3,123","82,736","3,669","5,000",35,2,37,107,"2,109","413,336",Annual Count,"81,150",Annual Count,"188,797","174,469","14,336","15,620","110,560","126,180","204,417","314,977",42,9,283,274,9,"9,964","9,345",619,18,18,0,446,223,223,169,160,9,"2,318","2,266",52,19,480,470,"12,728",27,671,0,Yes,"35,543","280,124","99,345",89,CA0003,19-20
ALPINE COUNTY LIBRARY/ARCHIVES,Alpine,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,270 LARAMIE ST.,MARKLEEVILLE,96120,187,(530) 694-2120,(530) 694-2120,http://www.alpinecountyca.gov/Index.aspx?NID=107,723,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,"1,142","3,286",508,1,1,1,3,"3,447","$339,740 ","$10,563 ","$10,000 ","$2,200 ","$362,503 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$169,744 ","$80,337 ","$250,081 ","$11,000 ","$1,200 ","$12,200 ","$11,000 ","$4,500 ","$27,700 ","$89,659 ","$367,440 ",$0 ,9,1,1,2.48,3.48,0.1,"6,755",722,"21,563","42,672","1,230","9,730","2,603","1,286",3,1,4,65,unavailable,"8,269",Annual Count,"1,131",Annual Count,"15,849","4,850",0,973,"1,200","2,173","16,822","18,022",0,0,38,,,"2,092",,,26,,,68,,,61,,,"3,220",,,11,123,125,"5,380",65,818,"4,877",Yes,"1,342","2,585","13,745",8,CA0004,19-20
ALTADENA LIBRARY DISTRICT,Los Angeles,Special District Library,Metropolitan Area (most nearly),Member of a Federation or Cooperative,Library District,Southern California Library Cooperative,600 E. MARIPOSA ST.,ALTADENA,91001,2211,(626) 798-0833,(626) 798-0833,http://www.altadenalibrary.org,9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,"51,737","23,985","4,253",1,1,0,2,"27,750","$3,680,204 ","$18,000 ",$0 ,"$216,873 ","$3,915,077 ","$41,449 ",$0 ,$0 ,$0 ,"$41,449 ","$1,747,430 ","$396,194 ","$2,143,624 ","$122,338 ","$15,066 ","$137,404 ","$84,238 ","$97,662 ","$319,304 ","$1,003,320 ","$3,466,248 ","$31,213 ",33,6,6,21,27,2,"25,467","4,956","66,252","421,958","5,235","357,737","6,280","17,043",10,1,11,241,"3,612","124,576",Annual Count,"3,115",Annual Count,"152,339","68,183","2,541","28,995","1,532","30,527","181,334","182,866",281,144,320,,,"6,238",,,99,,,685,,,144,,,"3,682",,,45,"1,150",563,"10,605",115,"13,114",387,Yes,"118,729","291,867","69,164",115,CA0005,19-20
AMADOR COUNTY LIBRARY,Amador,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,49-99 Cooperative Library System,530 SUTTER ST.,JACKSON,95642,2379,(209) 223-6400,(209) 223-6400,http://www.amadorgov.org/departments/library,594,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,"37,676","33,170","7,083",1,4,0,5,"11,750","$806,053 ","$31,063 ",$0 ,"$16,847 ","$853,963 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$341,674 ","$179,616 ","$521,290 ","$25,000 ",$845 ,"$25,845 ","$15,290 ","$6,000 ","$47,135 ","$161,991 ","$730,416 ",$0 ,9,1,1,6.75,7.75,1.75,"20,213","2,071","91,487","553,700","3,202","130,537","4,494","38,939",15,4,19,35,"3,528","45,120",Annual Count,"1,828",Annual Count,"44,449","13,395","1,260","10,425",unavailable,unavailable,"54,874",unavailable,"2,556","4,067",112,112,0,"2,289","2,289",0,6,6,0,114,114,0,30,30,0,408,408,0,1,150,148,"2,811",unavailable,unavailable,unavailable,Yes,"9,942","60,135",unavailable,22,CA0006,19-20
ANAHEIM PUBLIC LIBRARY,Orange,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Santiago,500 W. BROADWAY,ANAHEIM,92805,3699,(714) 765-1810,(714) 765-1880,http://anaheim.net/library,49,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"357,325","254,093","63,634",1,7,1,9,"149,799","$11,177,227 ","$11,320 ","$170,300 ","$338,698 ","$11,697,545 ","$22,391 ",$0 ,"$315,000 ",$0 ,"$337,391 ","$4,443,747 ","$2,937,030 ","$7,380,777 ","$501,405 ","$2,661 ","$504,066 ","$256,218 ","$29,347 ","$789,631 ","$3,473,784 ","$11,644,192 ","$4,263,415 ",153,22,23,56,79,0.25,"229,098","34,514","497,040","6,200","7,008","1,995","38,683",0,18,3,21,370,unavailable,"619,399",Annual Count,"225,468",Annual Count,"880,470","447,796","35,854","115,675","253,489","369,164","996,145","1,249,634",0,0,"2,647","2,545",102,"81,621","77,695","3,926",326,319,7,"4,586","4,423",163,285,269,16,"3,832","3,450",382,unavailable,unavailable,"3,258","90,039",125,"239,127","234,656",Yes,"89,344","196,315","1,252,130",230,CA0007,19-20
ARCADIA PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,20 W. DUARTE ROAD,ARCADIA,91006,6999,(626) 821-5567,(626) 821-5569,http://www.arcadiaca.gov/library,12,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,"57,212","24,949","2,926",1,0,0,1,"48,000","$3,804,523 ","$20,000 ","$13,921 ","$53,615 ","$3,892,059 ","$52,000 ",$0 ,$0 ,$0 ,"$52,000 ","$1,858,597 ","$958,694 ","$2,817,291 ","$165,593 ","$12,404 ","$177,997 ","$96,317 ","$17,551 ","$291,865 ","$695,366 ","$3,804,522 ","$52,000 ",36,10.5,10.5,16.63,27.13,2.82,"73,983","5,758","173,466","25,484","5,011","9,496","6,832",326,23,3,26,178,"2,108","324,128",Annual Count,"26,010",Annual Count,"435,064","306,596","15,886","70,815","15,737","86,552","505,879","521,616",298,24,181,181,0,"9,023","9,023",0,71,70,1,"4,703","4,699",4,128,120,8,"2,487","2,471",16,17,51,380,"16,213",26,"1,016",0,No,"27,431",unavailable,"40,960",66,CA0008,19-20
AZUSA CITY LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,729 N. DALTON AVE.,AZUSA,91702,2550,(626) 812-5232,(626) 812-5268,http://www.azusaca.gov/library,9,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,"49,658","53,297","8,513",1,0,1,2,"18,497","$1,370,105 ","$43,000 ","$34,515 ","$44,000 ","$1,491,620 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$876,305 ","$359,700 ","$1,236,005 ","$45,500 ","$5,000 ","$50,500 ","$23,000 ",$0 ,"$73,500 ","$58,600 ","$1,368,105 ",$0 ,24,3,3,13,16,5,"43,119","2,993","90,436","29,721","2,706","17,650","2,662",127,4,3,7,61,unavailable,"93,592",Annual Count,"9,912",Annual Estimate Based on Typical Week(s),"51,318","31,702","2,543","4,504",unavailable,unavailable,"55,822",unavailable,109,39,186,137,49,"5,649","4,133","1,516",2,2,0,103,103,0,431,428,3,"1,125","1,019",106,60,457,619,"6,877",24,"3,281","2,485",Yes,unavailable,unavailable,unavailable,30,CA0010,19-20
