Location,County,Library Type,Geographic Code,Interlibrary Relationship code,Legal Basis Code,CLSA System Library,Street Address,City,Zip,Zip +4,Public Phone Number - Administration,Reference Phone Number,Library's Web Address,Size Square Mile,Closed Outlets Due to COVID-19,Public Services During COVID-19,Electronic Library Cards During COVID-19,Reference Service During COVID-19,Outside Service During COVID-19,External WiFi Access Added During COVID-19,External WiFi Access Increased During COVID-19,Staff Re-Assigned During COVID-19,Population of The Legal Service Area,Registered Users as of June 30,Children Borrowers,# of Central Libraries,# of Branch Libraries,# of Bookmobiles,Total # of Outlets,Number of kiosks,Total Square Footage,Local Government Income,State Income,Federal Income,Other Operating Income,Total Operating Income,Capital Outlay Income from Local Sources,Capital Outlay Income from State  Sources,Capital Outlay Income from Federal Sources,Capital Outlay Income from Other Sources,Total Capital Outlay Income,Salary & Wages Expenditures,Employee Benefits Expenditures,Total Staff Expenditures,Print Materials Expenditures,Print Serial Subscription Expenditures,Total Print Materials Expenditures,Electronic Materials Expenditures,Other Materials Expenditures,Total Collection Expenditures,All Other Operating Expenditures,Total Operating Expenditures,Total Capital Expenditures,Total persons employed,# of ALA MLS Librarian FTEs,# of Librarian FTEs,FTE All other paid staff,Total Staff FTE,Total number of volunteers (count heads),Total hours volunteered in the reporting year,Books Children Held,Books Young Adult Held,Total Print Materials Held,# of Physical Audio Materials,# of Physical Video Materials,"Do you loan internet enabled devices? (Laptops, Chromebooks, etc.)",How many devices available for check-out and use outside the library?,Do you lend hot spots?,How many hot spots available for check-out and use outside the library?,Other Physical Items,Total Physical Items,# of Current Serial Subscriptions,Total Electronic Books,# of Downloadable Audio Materials,# of Downloadable Video Materials,Electronic Collections Locally Funded as of June 30,Electronic Collections State Funded,# of Electronic Collections,"Hours Open, All Outlets",Library Visits,Library visits reporting method,Reference Questions,Reference transactions reporting method,Do you charge any patrons late fines for physical materials?,Charge per day for Adults,For Young Adults,For Children,Physical Item Circulation,Circulation of Children's Materials,Circulation of Non English Materials,ILL loans to others,ILL loans received,"Circulation of internet-enabled devices (laptops, Chromebooks, etc)",Circulation of hotspots,Circulation of Other Physical Items,Circulation of Electronic Materials,Successful Retrieval of State-funded Electronic information (autofilled),Successful Retrieval of locally-funded electronic information,Successful Retrieval of Electronic Information,Total Annual Circulation,Total Electronic Content Use,Total Content Use,Are you able to report live programming and virtual programming separately?,# of Programs,Program Attendance,of Children's Programs (calculated),Program Attendance,# of Children's Programs for Ages 0-5 (calculated),"# of Children's Programs (ages 0-5) - Live, In-person","# of Children's Programs (ages 0-5) - Live, Virtual",Children's Program Attendance (calculated),"# of Children's Program Attendees (ages 0-5) - Live, In-person","# of Children's Program Attendees (ages 0-5) - Live, Virtual",# of Children's Programs for Ages 6-11,"# of Children's Programs (age 6-11) - Live, In-person","# of Children's Programs (age 6-11) - Live, Virtual",Children's Program Attendance,"# of Children's Program Attendees (age 6-11) - Live, In-person","# of Children's Program Attendees (age 6-11) - Live, Virtual",# of Young Adult Programs (calculated),"# of Young Adult Programs - Live, In-person","# of Young Adult Programs - Live, Virtual",Young Adult Program Attendance (calculated),"Young Adult Program Attendance - Live, In-person","Young Adult Program Attendance - Live, Virtual",# of Adult Programs (calculated),"# of Adult Programs - Live, In-person","# of Adult Programs - Live, Virtual",Adult Program Attendance (calculated),"Adult Program Attendance - Live, In-person","Adult Program Attendance - Live, Virtual",# of General Interest Programs (calculated),"# of General Interest Programs - Live, In-person","# of General Interest Programs - Live, Virtual",General Audience attendance (calculated),"General Audience Program Attendance - Live, In-person","General Audience Program Attendance - Live, Virtual","Of the above programs, how many were offsite?",Attendance at offsite programs,# recordings of program content,# views of recorded program content,CIPA Compliant,Annual Uses of Public Internet Computers,Reporting Method for Uses of Computers,Virtual Visits to the library website,Wireless Sessions Per Year,Reporting Method for Wifi Sessions,# of Internet Terminals,ILS System (choose from dropdown or enter other),# of self-directed activities,# of participants,Brief description of activities,FSCS ID,Year
A. K. SMILEY PUBLIC LIBRARY,San Bernardino,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Not a Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Non-affiliated,125 W. VINE ST.,REDLANDS,92373,4728,(909) 798-7565,-1,http://www.akspl.org,37,No,Yes,Yes,Yes,Yes,No,No,No,"72,585","54,826","18,017",1,0,0,1,0,"64,636","$2,619,509 ","$63,817 ",$0 ,"$819,738 ","$3,503,064 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,628,039 ","$944,799 ","$2,572,838 ","$111,974 ","$23,639 ","$135,613 ","$86,249 ","$19,782 ","$241,644 ","$507,574 ","$3,322,056 ","$11,500 ",35,3,3,23.11,26.11,134,"4,417.75","29,329","3,966","110,758","6,467","2,813",Yes,15,Yes,2,57,"120,095",215,"27,008","11,425","29,602",19,17,36,"2,675","190,567",Annual Count,"25,475",Annual Count,Yes,$0.20 ,$0.20 ,$0.20 ,"194,141","106,388",209,0,10,-1,-1,0,"28,360","4,493","91,311","95,804","222,501","124,164","318,305",Yes,319,"14,363",156,"5,532",141,141,0,"2,558","2,558",0,15,15,0,"2,974","2,974",0,9,9,0,69,69,0,119,50,69,"1,462",743,719,35,30,5,"7,300","7,245",55,94,"1,467",71,"1,441",No,"6,618",Annual Count,"36,671","16,000",Annual Count,23,Horizon (SirsiDynix),4,200,Youth Services - Take & Make Craft Bags (4 crafts per bag; 50 bags per month (4 months) ,CA0165,21-22
ALAMEDA COUNTY LIBRARY,Alameda,County Library with Dedicated Tax,"County or Equivalent, remainder excluding AEs of contained geographies",Member of a Federation or Cooperative,County/Parish,Pacific Library Partnership,2450 STEVENSON BLVD.,FREMONT,94538,2326,(510) 745-1504,(510) 745-1400,http://www.aclibrary.org,572,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"588,941","260,828","21,752",0,11,1,12,0,"208,743","$33,664,887 ","$53,062 ","$6,175 ","$4,207,575 ","$37,931,699 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$15,236,896 ","$7,730,734 ","$22,967,630 ","$2,394,901 ","$71,318 ","$2,466,219 ","$1,810,480 ","$341,397 ","$4,618,096 ","$10,433,528 ","$38,019,254 ","$223,413 ",232,20,70,172.86,242.86,940,"5,311.00","557,893","46,142","1,038,832","37,358","91,160",Yes,0,Yes,71,790,"1,168,140",832,"217,746","34,108","10,685",125,22,147,"17,908","850,331",Annual Count,"139,069",Annual Estimate Based on Typical Week(s),No,,,,"4,380,231","3,176,675","98,456","14,345","43,690",0,219,0,"951,342","28,593","228,777","257,370","5,331,573","1,208,712","5,588,943",Yes,"1,146","28,056",545,"14,855",96,20,76,"1,776",366,"1,410",449,219,230,"13,079","7,046","6,033",186,147,39,"3,829","1,683","2,146",265,76,189,"3,074","1,821","1,253",150,85,65,"6,298","4,833","1,465",2,72,7,"1,163",No,"64,617",Annual Count,"6,401,286","177,151",Annual Count,213,Sierra (Innovative),302,"33,699","Story walks, craft bags, button making.",CA0001,21-22
ALAMEDA FREE LIBRARY,Alameda,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,1550 OAK ST,ALAMEDA,94501,4411,(510) 747-7747,(510) 747-7713,http://www.alamedafree.org,12,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"77,784","86,334","16,420",1,2,0,3,0,"54,200","$5,431,323 ","$3,084 ",$0 ,$0 ,"$5,434,407 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$2,231,600 ","$857,665 ","$3,089,265 ","$257,387 ","$19,469 ","$276,856 ","$138,416 ",$0 ,"$415,272 ","$1,352,823 ","$4,857,360 ",$0 ,55,8,11,18,29,7,50,"58,860","7,718","211,954","7,232","8,647",No,0,Yes,30,0,"227,833",278,0,"13,751",0,54,15,69,"6,136","157,206",Annual Count,"34,871",Annual Count,No,,,,"493,287","271,478","9,538","3,197","4,270",0,86,0,"69,249","8,870",-1,"8,870","562,536","78,119","571,406",No,"2,483","16,777","2,276","13,203",392,71,321,"4,010","1,930","2,080","1,884",44,"1,840","9,193","1,624","7,569",54,54,0,578,578,0,135,135,0,"1,205","1,205",0,18,18,0,"1,791","1,791",0,6,266,-1,-1,No,"13,173",Annual Count,"164,988","2,982",Annual Count,53,Polaris (Innovative),7,441,"Where's Waldo, Succulent make-and-take bags, Mini wreath take-and-make bags, take-and-make slime kits, and scavenger hunts",CA0002,21-22
ALHAMBRA CIVIC CENTER LIBRARY,Los Angeles,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,101 S. FIRST ST.,ALHAMBRA,91801,3488,(626) 570-5008,(626) 570-3212,http://alhambralibrary.org,8,No,Yes,Yes,Yes,Yes,No,Yes,No,"81,834","85,840","9,932",1,0,0,1,0,"45,000","$2,803,207 ","$17,057 ","$390,000 ",$0 ,"$3,210,264 ","$245,867 ",$0 ,"$15,318 ",$0 ,"$261,185 ","$1,557,922 ","$555,676 ","$2,113,598 ","$117,511 ","$4,283 ","$121,794 ","$75,978 ",$0 ,"$197,772 ","$625,900 ","$2,937,270 ","$15,318 ",39,14,14,14,28,43,"2,233.25","45,427","5,835","96,754","2,324","2,022",Yes,20,Yes,27,137,"101,237",97,"7,154","37,651","1,590",32,17,49,"3,150","138,995",Annual Count,"63,383",Annual Count,Yes,$0.25 ,$0.25 ,$0.15 ,"245,836","160,151","11,948",0,0,4,4,197,"23,492","5,412","60,278","65,690","269,328","89,182","335,018",Yes,357,"10,781",229,"7,117",153,153,0,"4,330","4,330",0,76,76,0,"2,787","2,787",0,60,60,0,"2,751","2,751",0,68,68,0,913,913,0,0,0,0,0,0,0,49,"2,435",0,0,Yes,"26,055",Annual Count,-1,"86,682",Annual Count,42,Apollo (Biblionix),12,"15,892","3 Storywalks (Winter, Lunar New Year, Summer); Social media challenges; SRP craft kits, NASA Grant craft kits Solar system activity",CA0003,21-22
ALPINE COUNTY LIBRARY/ARCHIVES,Alpine,County Library General Fund,"County or Equivalent, entirety",Member of a Federation or Cooperative,County/Parish,NorthNet Library System,270 LARAMIE ST.,MARKLEEVILLE,96120,187,(530) 694-2120,(530) 694-2120,http://www.alpinecountyca.gov/Index.aspx?NID=107,723,Yes,Yes,Yes,Yes,Yes,No,No,No,"1,200","2,936",541,1,1,1,3,0,"3,447","$333,334 ","$15,486 ",$0 ,"$8,400 ","$357,220 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$112,258 ","$69,075 ","$181,333 ","$8,025 ","$2,391 ","$10,416 ","$5,325 ","$8,400 ","$24,141 ","$72,884 ","$278,358 ","$24,000 ",6,1,1,1.98,2.98,1,148,"6,548",538,"18,420","1,084","2,658",Yes,26,No,0,109,"22,271",46,0,"107,592","17,967",3,14,17,"2,520","10,057",Annual Count,107,Annual Count,No,$0.00 ,$0.00 ,$0.00 ,"5,611","1,692",0,0,0,68,0,"5,543","2,781",431,-1,431,"8,392","3,212","8,823",Yes,24,435,16,175,8,8,0,110,110,0,8,8,0,65,65,0,0,0,0,0,0,0,6,6,0,72,72,0,2,2,0,188,188,0,6,72,0,0,Yes,204,Annual Count,-1,"9,360",Annual Estimate Based on Typical Week(s),4,Library Solution (TLC),0,0,,CA0004,21-22
ALTADENA LIBRARY DISTRICT,Los Angeles,Special District Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,Library District,Southern California Library Cooperative,600 E. MARIPOSA ST.,ALTADENA,91001,2211,(626) 798-0833,(626) 798-0833,http://www.altadenalibrary.org,9,No,Yes,Yes,Yes,Yes,Yes,Yes,No,"42,778","15,730","3,600",1,1,0,2,0,"27,750","$4,034,099 ","$49,669 ",$0 ,"$172,062 ","$4,255,830 ",$0 ,"$250,000 ",$0 ,"$1,030,460 ","$1,280,460 ","$1,966,891 ","$692,325 ","$2,659,216 ","$140,248 ","$13,461 ","$153,709 ","$111,891 ","$35,884 ","$301,484 ","$810,326 ","$3,771,026 ","$1,030,460 ",33,11,11,13,24,93,"2,607.00","24,958","4,675","60,242","5,667","6,148",Yes,51,Yes,31,577,"72,634",108,"525,825","470,179","24,710",9,18,27,"4,456","72,572",Annual Count,"7,444",Annual Count,No,$0.00 ,$0.00 ,$0.00 ,"168,032","91,828","2,940",390,230,498,"1,059","4,069","61,626","1,059","8,821","9,880","229,658","71,506","239,538",Yes,426,"10,017",161,"3,476",93,92,1,"1,676","1,676",0,68,60,8,"1,800","1,793",7,81,75,6,704,693,11,158,122,36,"3,901","3,255",646,26,26,0,"1,936","1,936",0,81,"3,319",4,987,Yes,"6,141",Annual Count,"400,148","74,340",Annual Count,43,Koha (Equinox),19,"1,871",7 Art Exhibits; Story Walks; Mindfulness Activities; Teen Passive Reading Challenges; Take Home Craft Kits; Themed Trivia and Scavenger Hunts,CA0005,21-22
AMADOR COUNTY LIBRARY,Amador,County Library General Fund,"County or Equivalent, entirety",Member of a Federation or Cooperative,County/Parish,49-99 Cooperative Library System,530 SUTTER ST.,JACKSON,95642,2379,(209) 223-6400,(209) 223-6400,http://www.amadorgov.org/departments/library,594,Yes,Yes,Yes,Yes,Yes,No,Yes,No,"40,297","27,979","5,945",1,4,0,5,0,"11,750","$842,504 ","$43,865 ",$0 ,"$12,977 ","$899,346 ","$506,624 ",$0 ,"$272,797 ",$0 ,"$779,421 ","$351,457 ","$204,375 ","$555,832 ","$25,000 ",$662 ,"$25,662 ","$21,528 ","$3,000 ","$50,190 ","$159,582 ","$765,604 ","$779,421 ",9,1,1,5.75,6.75,8,685,"20,133","2,578","92,644","3,167","4,546",Yes,10,No,0,0,"100,357",33,"888,928","185,946","21,494",16,18,34,"3,480","15,087",Annual Count,"1,628",Annual Count,Yes,$0.10 ,$0.10 ,$0.10 ,"20,023","5,595",500,"1,081","5,459",5,0,0,"12,723","11,769",-1,"11,769","32,746","24,492","44,515",Yes,37,508,15,373,6,0,6,355,0,355,9,0,9,18,0,18,0,0,0,0,0,0,22,22,0,135,135,0,0,0,0,0,0,0,0,0,0,0,Yes,"1,879",Annual Count,"25,610",-1,,22,Symphony (SirsiDynix),60,60,Take home craft kits.,CA0006,21-22
ANAHEIM PUBLIC LIBRARY,Orange,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Santiago,500 W. BROADWAY,ANAHEIM,92805,3699,(714) 765-1810,(714) 765-1880,http://anaheim.net/library,49,Yes,Yes,Yes,Yes,No,No,No,Yes,"341,245","276,446","82,123",1,7,2,10,1,"150,079","$10,722,206 ","$38,000 ","$198,300 ","$183,990 ","$11,142,496 ","$863,292 ",$0 ,"$120,000 ",$0 ,"$983,292 ","$3,991,101 ","$3,355,558 ","$7,346,659 ","$407,426 ","$6,778 ","$414,204 ","$228,572 ","$16,582 ","$659,358 ","$3,305,456 ","$11,311,473 ","$11,050 ",158,25.39,25.39,41.59,66.98,73,"10,960.00","238,910","35,064","487,066","6,351","37,591",Yes,3,Yes,3,358,"531,366",147,"182,489","68,019",0,18,21,39,"11,303","359,267",Annual Count,"154,148",Annual Count,Yes,$0.20 ,$0.20 ,$0.20 ,"532,883","410,998","4,155",0,0,0,0,"1,389","181,583","29,635","19,280","48,915","714,466","230,498","763,381",Yes,"4,801","94,889","1,905","63,754",270,270,0,"7,758","7,758",0,"1,635","1,613",22,"55,996","55,892",104,197,197,0,"2,347","2,347",0,"2,558","2,558",0,"3,744","3,744",0,141,130,11,"25,044","24,934",110,138,"21,151",36,"14,363",Yes,"39,230",Annual Count,"213,396",-1,Annual Count,154,Horizon (SirsiDynix),30,"1,718",Take home craft kits,CA0007,21-22
ARCADIA PUBLIC LIBRARY,Los Angeles,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,20 W. DUARTE ROAD,ARCADIA,91006,6999,(626) 821-5567,(626) 821-5569,http://www.arcadiaca.gov/library,12,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"55,934","26,682","2,568",1,0,0,1,0,"48,000","$4,316,168 ","$32,450 ","$15,637 ","$110,233 ","$4,474,488 ","$86,800 ",$0 ,$0 ,$0 ,"$86,800 ","$1,830,633 ","$865,761 ","$2,696,394 ","$161,064 ","$13,221 ","$174,285 ","$111,927 ","$42,906 ","$329,118 ","$905,800 ","$3,931,312 ",$0 ,35,10,10,14.13,24.13,89,"4,349.00","52,270","3,630","152,105","5,509","6,979",Yes,5,No,0,422,"165,015",172,"15,969","8,784",99,18,18,36,"2,704","231,830",Annual Count,"28,590",Annual Count,Yes,$0.25 ,$0.25 ,$0.25 ,"392,537","280,591","13,309",348,26,123,0,112,"46,799","26,802","57,620","84,422","439,336","131,221","523,758",Yes,172,"2,691",94,"1,526",32,25,7,573,538,35,62,42,20,953,824,129,53,53,0,883,883,0,25,24,1,282,279,3,0,0,0,0,0,0,2,77,21,694,Yes,"10,268",Annual Count,"78,237","29,650",Annual Count,45,Other (please list),17,"3,954",Craft and activity kits prepared by Library staff and volunteers and distributed to children to take and make at home.,CA0008,21-22
AZUSA CITY LIBRARY,Los Angeles,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,729 N. DALTON AVE.,AZUSA,91702,2550,(626) 812-5232,(626) 812-5268,http://www.azusaca.gov/library,9,No,Yes,Yes,Yes,Yes,No,No,No,"49,704","54,342","8,306",1,0,1,2,0,"18,497","$1,488,480 ","$80,763 ","$17,050 ","$90,000 ","$1,676,293 ",$0 ,"$500,000 ",$0 ,$0 ,"$500,000 ","$963,420 ","$330,960 ","$1,294,380 ","$49,500 ","$1,250 ","$50,750 ","$29,000 ",$0 ,"$79,750 ","$120,350 ","$1,494,480 ",$0 ,26,3,3,17.25,20.25,24,"1,056.00","39,156","2,449","91,552","1,673","1,906",Yes,5,No,10,49,"95,180",8,"523,713","415,590","48,016",5,15,20,"1,793","53,012",Annual Count,"4,800",Annual Estimate Based on Typical Week(s),No,$0.00 ,$0.00 ,$0.00 ,"8,619","6,704",263,0,0,-1,63,-1,"4,990",273,-1,273,"13,609","5,263","13,882",Yes,148,"1,921",97,983,50,11,39,456,89,367,47,28,19,527,309,218,5,5,0,56,56,0,30,11,19,324,116,208,16,7,9,558,394,164,4,526,-1,-1,Yes,-1,Annual Estimate Based on Typical Week(s),"16,944",-1,Annual Estimate Based on Typical Week(s),25,Symphony (SirsiDynix),24,"1,637","Self-guided monthly activities include scavenger hunts for youths, take-home craft kits for youths, young adults, and adults, and passive programs such as coloring activities and puzzles.",CA0010,21-22
